tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metascope_toy.profile	0	1.0	0.14336038192361114	4.5500250796078685	0.503418	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3363784944627157
metascope_toy.profile	7	1.0	0.14222390048273817	3.8580036418901282	0.48936300000000005	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.32394479944553195
metascope_toy.profile	6	1.0	0.14268096972658734	4.408436025895456	0.492468	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.32667167264111147
metascope_toy.profile	5	1.0	0.14172201821150804	4.482665390987874	0.492792	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3269568632862883
metascope_toy.profile	4	1.0	0.13877553523690475	4.520248607837828	0.485935	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3209472512738885
metascope_toy.profile	3	1.0	0.1437786008617063	3.8961139757097425	0.498189	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3317254967502568
metascope_toy.profile	2	1.0	0.14018999050595238	3.8613084470876196	0.48227800000000004	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.31776438636324705
metascope_toy.profile	19	0.9999999900000001	0.1607490310605159	4.075866335892841	0.63520399	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.99999988922529e-09	0.0	0.4654204691794266
metascope_toy.profile	18	1.0	0.14047783656785712	4.188978469191774	0.502819	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.33584382916961947
metascope_toy.profile	17	1.0	0.14355163130674597	4.768959488889545	0.5061869999999999	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.33885566667313777
metascope_toy.profile	16	1.0	0.15739941847817468	4.086091189840972	0.61095	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.4398329793743926
metascope_toy.profile	15	1.0	0.13890575402162697	4.738689883641639	0.486581	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.32151109507677644
metascope_toy.profile	14	1.0	0.15489285641567455	3.842706800212146	0.603384	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.43203285656186097
metascope_toy.profile	13	1.0	0.14346468138095242	3.9699735235451596	0.502589	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3356386456357005
metascope_toy.profile	12	1.0	0.14601280520337306	4.519564067264628	0.523303	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3543739846427534
metascope_toy.profile	11	1.0	0.14131198652599214	4.387073915449703	0.494739	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3286732334126773
metascope_toy.profile	10	1.0	0.1430010693773809	4.029855022290005	0.49764	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.33123885087462396
metascope_toy.profile	1	1.0	0.1437161629486111	4.270444037527493	0.503973	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.33687426764356526
metascope_toy.profile	8	1.0	0.1438908404876985	4.091198768894332	0.505496	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3382366323542794
metascope_toy.profile	9	1.0	0.14444680169464283	4.49430228861027	0.507643	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.34016190495973814
