tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metascope_toy.profile	0	0.99999711	0.14336038192361114	4.5500250796078685	0.9883188700000004	0.5769230769230769	0.38461538461538464	0.46153846153846156	15.0	24.0	11.0	39.0	0.3	1.3926521837386134	0.3801361402529898	0.4995131898960808
metascope_toy.profile	7	0.9999982399999999	0.14222390048273817	3.8580036418901282	0.9763591599999998	0.6071428571428571	0.4722222222222222	0.53125	17.0	19.0	11.0	36.0	0.3617021276595745	1.059360202406095	0.29562009315416093	0.4888514476526248
metascope_toy.profile	6	0.99999741	0.14268096972658734	4.408436025895456	0.9692814099999998	0.6206896551724138	0.47368421052631576	0.5373134328358208	18.0	20.0	11.0	38.0	0.3673469387755102	1.2987071038179236	0.3570244241075545	0.4884694728265086
metascope_toy.profile	5	0.99999938	0.14172201821150804	4.482665390987874	0.9567945199999999	0.6206896551724138	0.47368421052631576	0.5373134328358208	18.0	20.0	11.0	38.0	0.3673469387755102	1.2728992579761331	0.3499296517204362	0.4854015115858973
metascope_toy.profile	4	0.99999905	0.13877553523690475	4.520248607837828	0.9551189099999999	0.6206896551724138	0.4864864864864865	0.5454545454545455	18.0	19.0	11.0	37.0	0.375	1.284121460566365	0.3556218921703542	0.48199427224910724
metascope_toy.profile	3	0.99999932	0.1437786008617063	3.8961139757097425	0.96638232	0.6071428571428571	0.425	0.5	17.0	23.0	11.0	40.0	0.3333333333333333	1.2526438075581556	0.33957298500529043	0.4905533055207262
metascope_toy.profile	2	0.9999972800000001	0.14018999050595238	3.8613084470876196	0.9529198199999999	0.6071428571428571	0.4594594594594595	0.5230769230769231	17.0	20.0	11.0	37.0	0.3541666666666667	1.332002093220123	0.3688818537125694	0.4795698533592552
metascope_toy.profile	19	0.99999847	0.1607490310605159	4.075866335892841	0.97834047	0.6333333333333333	0.48717948717948717	0.5507246376811593	19.0	20.0	11.0	39.0	0.38	1.596156930100296	0.43568447436568974	0.5728248718456171
metascope_toy.profile	18	0.99999853	0.14047783656785712	4.188978469191774	0.9372394299999998	0.6333333333333333	0.5428571428571428	0.5846153846153846	19.0	16.0	11.0	35.0	0.41304347826086957	1.110208649552093	0.3122644057209415	0.4852206842987749
metascope_toy.profile	17	0.999998	0.14355163130674597	4.768959488889545	0.9800741600000002	0.6071428571428571	0.425	0.5	17.0	23.0	11.0	40.0	0.3333333333333333	1.057993135643796	0.28680610163715	0.499200402589941
metascope_toy.profile	16	0.9999984399999999	0.15739941847817468	4.086091189840972	0.9929775999999998	0.5925925925925926	0.41025641025641024	0.4848484848484849	16.0	23.0	11.0	39.0	0.32	0.719012467254434	0.19626050731643388	0.5629793525811376
metascope_toy.profile	15	0.99999932	0.13890575402162697	4.738689883641639	0.9431153800000004	0.6071428571428571	0.4146341463414634	0.49275362318840576	17.0	24.0	11.0	41.0	0.3269230769230769	1.4195986375519556	0.38227308156478296	0.4809562190006054
metascope_toy.profile	14	0.99999882	0.15489285641567455	3.842706800212146	0.97598254	0.6071428571428571	0.4146341463414634	0.49275362318840576	17.0	24.0	11.0	41.0	0.3269230769230769	0.7276859572349558	0.19595309964746607	0.5535348248996804
metascope_toy.profile	13	0.99999805	0.14346468138095242	3.9699735235451596	0.99095369	0.6071428571428571	0.4473684210526316	0.5151515151515151	17.0	21.0	11.0	38.0	0.3469387755102041	1.2452975810011202	0.34234174156160463	0.5039410258720207
metascope_toy.profile	12	0.99998874	0.14601280520337306	4.519564067264628	0.95925786	0.5925925925925926	0.4	0.4776119402985075	16.0	24.0	11.0	40.0	0.3137254901960784	1.356901939691804	0.3678358039535694	0.5017060690858425
metascope_toy.profile	11	0.9999964200000001	0.14131198652599214	4.387073915449703	0.9685285999999997	0.5862068965517241	0.425	0.4927536231884058	17.0	23.0	12.0	40.0	0.3269230769230769	1.2506051614731464	0.33902033856878633	0.4899205751166889
metascope_toy.profile	10	0.99999929	0.1430010693773809	4.029855022290005	0.9774417699999997	0.6333333333333333	0.5277777777777778	0.5757575757575758	19.0	17.0	11.0	36.0	0.40425531914893614	1.2983348696933754	0.36230724379895085	0.49402715908175904
metascope_toy.profile	1	0.9999839500000001	0.1437161629486111	4.270444037527493	0.97577715	0.6153846153846154	0.36363636363636365	0.4571428571428572	16.0	28.0	10.0	44.0	0.2962962962962963	1.2787314242398509	0.33791420302470804	0.49841027762608237
metascope_toy.profile	8	0.99999944	0.1438908404876985	4.091198768894332	0.9817823799999998	0.6333333333333333	0.48717948717948717	0.5507246376811593	19.0	20.0	11.0	39.0	0.38	1.1279813209253522	0.3078919996110897	0.5006563825981731
metascope_toy.profile	9	0.99998369	0.14444680169464283	4.49430228861027	0.9730610500000003	0.6071428571428571	0.4473684210526316	0.5151515151515151	17.0	21.0	11.0	38.0	0.3469387755102041	1.301423165835337	0.35777109013776004	0.4972381279185071
