tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metascope_toy.profile	0	0.99999998	0.14336038192361114	4.5500250796078685	0.50341798	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10763643889533335	0.09797490889695507	0.3363784855942206
metascope_toy.profile	7	0.9999999900000001	0.14222390048273817	3.8580036418901282	0.48936199	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10240618074687657	0.09321412276484504	0.32394391855589444
metascope_toy.profile	6	0.99999998	0.14268096972658734	4.408436025895456	0.49246797999999997	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.11095202996534378	0.1009928899483322	0.3266716637082551
metascope_toy.profile	5	0.9999999900000001	0.14172201821150804	4.482665390987874	0.49279199000000007	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10955893244389871	0.09972483793779628	0.32695685882079223
metascope_toy.profile	4	0.9999999900000001	0.13877553523690475	4.520248607837828	0.48593499	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.09853261344558173	0.08968824986022743	0.32094724678892417
metascope_toy.profile	3	0.9999999900000001	0.1437786008617063	3.8961139757097425	0.49818899	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.11055883794519106	0.10063499114799254	0.33172549230046583
metascope_toy.profile	2	0.9999999900000001	0.14018999050595238	3.8613084470876196	0.48227799000000005	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10069439564344818	0.09165598881614904	0.31776438186811806
metascope_toy.profile	19	0.9999999799999999	0.1607490310605159	4.075866335892841	0.6352039799999999	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.09538827893785466	0.08682615324965787	0.4654204652625075
metascope_toy.profile	18	0.9999999799999999	0.14047783656785712	4.188978469191774	0.5028189799999999	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10385212090814744	0.09453027421898892	0.33584382029753
metascope_toy.profile	17	0.9999999899999998	0.14355163130674597	4.768959488889545	0.5061879899999999	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.08579990929184546	0.0780984430784622	0.3388565585151047
metascope_toy.profile	16	0.9999999899999998	0.15739941847817468	4.086091189840972	0.6109499899999999	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.048972398223223704	0.04457659788476864	0.4398329753416577
metascope_toy.profile	15	0.9999999900000001	0.13890575402162697	4.738689883641639	0.48658098999999994	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.11339892877346434	0.10322015322707	0.32151109059362337
metascope_toy.profile	14	0.9999999799999999	0.15489285641567455	3.842706800212146	0.6033839799999999	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.047454681516597104	0.04319511260349022	0.43203284842838474
metascope_toy.profile	13	0.99999998	0.14346468138095242	3.9699735235451596	0.5025889800000001	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.09988307315212414	0.09091749125910129	0.3356386367622335
metascope_toy.profile	12	0.9999999900000001	0.14601280520337306	4.519564067264628	0.52330299	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10470398882910406	0.0953056778165487	0.354373980270658
metascope_toy.profile	11	0.99999998	0.14131198652599214	4.387073915449703	0.49473997999999997	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.09980575693282784	0.09084711500344332	0.3286741071798108
metascope_toy.profile	10	0.9999999900000001	0.1430010693773809	4.029855022290005	0.49763999000000003	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.1132518744197517	0.10308629858587448	0.33123884642321977
metascope_toy.profile	1	0.9999999900000001	0.1437161629486111	4.270444037527493	0.5039719899999999	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10233140032173091	0.09314605468849363	0.3368733695951771
metascope_toy.profile	8	0.9999999799999999	0.1438908404876985	4.091198768894332	0.50549698	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.08516944476128102	0.07752456953174558	0.3382375189375668
metascope_toy.profile	9	0.9999999899999998	0.14444680169464283	4.49430228861027	0.50764299	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10248647511738776	0.09328720985056164	0.34016190053828876
