tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metascope_toy.profile	0	0.9999902500000001	0.14336038192361114	4.5500250796078685	1.0031820900000008	0.5126582278481012	0.15083798882681565	0.23309352517985613	81.0	456.0	77.0	537.0	0.13192182410423453	2.707078424613806	0.43065212300630107	0.5189699875881083
metascope_toy.profile	7	0.9999901299999999	0.14222390048273817	3.8580036418901282	0.9503467699999991	0.4968553459119497	0.17555555555555555	0.25944170771756975	79.0	371.0	80.0	450.0	0.1490566037735849	2.311129427715896	0.3783001746788163	0.4867567026128933
metascope_toy.profile	6	0.99998874	0.14268096972658734	4.408436025895456	0.9927784400000011	0.5172413793103449	0.1565217391304348	0.2403204272363151	90.0	485.0	84.0	575.0	0.13657056145675264	2.8879305015174306	0.4544794343067643	0.5076227230404783
metascope_toy.profile	5	0.99999076	0.14172201821150804	4.482665390987874	1.1677797599999995	0.487012987012987	0.1485148514851485	0.2276176024279211	75.0	430.0	79.0	505.0	0.1284246575342466	2.733714513354912	0.4391820792456053	0.5959355977495842
metascope_toy.profile	4	0.9999916799999999	0.13877553523690475	4.520248607837828	0.9262035600000013	0.48366013071895425	0.148	0.22664624808575803	74.0	426.0	79.0	500.0	0.12780656303972365	2.9639245735872892	0.4769286375982085	0.47493680626521184
metascope_toy.profile	3	0.99998957	0.1437786008617063	3.8961139757097425	1.1747184099999999	0.5031055900621118	0.1643002028397566	0.2477064220183486	81.0	412.0	80.0	493.0	0.14136125654450263	2.8498766487277942	0.45961977778507085	0.5993144586742424
metascope_toy.profile	2	0.99999128	0.14018999050595238	3.8613084470876196	0.9562515999999991	0.5060975609756098	0.17436974789915966	0.25937499999999997	83.0	393.0	81.0	476.0	0.1490125673249551	2.5561258195423795	0.41459084849992306	0.4875078197397976
metascope_toy.profile	19	0.9999553299999999	0.1607490310605159	4.075866335892841	0.9846258299999993	0.5227272727272727	0.1513157894736842	0.23469387755102042	92.0	516.0	84.0	608.0	0.1329479768786127	3.1173546132330903	0.4863135048004988	0.580769194403483
metascope_toy.profile	18	0.99999284	0.14047783656785712	4.188978469191774	0.9178491600000003	0.5029940119760479	0.15555555555555556	0.23762376237623764	84.0	456.0	83.0	540.0	0.1348314606741573	2.8992597214657727	0.46081663527094385	0.4830302429150974
metascope_toy.profile	17	0.99999174	0.14355163130674597	4.768959488889545	0.970324619999999	0.48466257668711654	0.13908450704225353	0.21614227086183313	79.0	489.0	84.0	568.0	0.12116564417177914	2.835813474333886	0.44713957477428895	0.49981237551430885
metascope_toy.profile	16	0.99999372	0.15739941847817468	4.086091189840972	1.0316610800000006	0.5202312138728323	0.1727447216890595	0.25936599423631124	90.0	431.0	83.0	521.0	0.1490066225165563	2.4000160009321574	0.38364959995420134	0.5902502609053778
metascope_toy.profile	15	0.99999189	0.13890575402162697	4.738689883641639	0.988739410000001	0.4968944099378882	0.14414414414414414	0.22346368715083798	80.0	475.0	81.0	555.0	0.12578616352201258	2.8140412893890083	0.445332408509433	0.509910005322254
metascope_toy.profile	14	0.99999375	0.15489285641567455	3.842706800212146	1.02048515	0.5119047619047619	0.17269076305220885	0.25825825825825827	86.0	412.0	82.0	498.0	0.1482758620689655	2.4334167203220467	0.39181668279111564	0.5829965343907977
metascope_toy.profile	13	0.9999907400000001	0.14346468138095242	3.9699735235451596	0.9629884200000006	0.5	0.16595744680851063	0.24920127795527156	78.0	392.0	78.0	470.0	0.14233576642335766	2.4715443561310035	0.40169864006254613	0.4977047678426384
metascope_toy.profile	12	0.99999027	0.14601280520337306	4.519564067264628	1.0755897499999998	0.48717948717948717	0.1444866920152091	0.2228739002932551	76.0	450.0	80.0	526.0	0.1254125412541254	3.0342928668906453	0.4843011954033043	0.5728525121284007
metascope_toy.profile	11	0.99999055	0.14131198652599214	4.387073915449703	0.9252282100000002	0.47368421052631576	0.15789473684210525	0.23684210526315788	72.0	384.0	80.0	456.0	0.13432835820895522	2.403748224194806	0.3926093993053562	0.4785766585489912
metascope_toy.profile	10	0.9999914	0.1430010693773809	4.029855022290005	0.9813522399999998	0.5287356321839081	0.1765834932821497	0.2647482014388489	92.0	429.0	82.0	521.0	0.15257048092868988	2.794561774629036	0.44671889956871963	0.5068145131802976
metascope_toy.profile	1	0.9999905099999999	0.1437161629486111	4.270444037527493	1.0541257499999985	0.5337423312883436	0.1590493601462523	0.2450704225352113	87.0	460.0	76.0	547.0	0.13964686998394862	2.9954248378814223	0.4751287434883553	0.5439541443357513
metascope_toy.profile	8	0.99999124	0.1438908404876985	4.091198768894332	0.9647114600000003	0.5126582278481012	0.15851272015655576	0.24215246636771298	81.0	430.0	77.0	511.0	0.1377551020408163	2.659321723026998	0.4264214435277134	0.4963870429773969
metascope_toy.profile	9	0.99999161	0.14444680169464283	4.49430228861027	1.0309709699999992	0.5094339622641509	0.15196998123827393	0.23410404624277462	81.0	452.0	78.0	533.0	0.132569558101473	2.889442805377754	0.4602107104797594	0.5340803993703559
