tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metascope_toy.profile	0	na	0.14336038192361114	4.5500250796078685	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	7	na	0.14222390048273817	3.8580036418901282	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	6	na	0.14268096972658734	4.408436025895456	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	5	na	0.14172201821150804	4.482665390987874	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	4	na	0.13877553523690475	4.520248607837828	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	3	na	0.1437786008617063	3.8961139757097425	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	2	na	0.14018999050595238	3.8613084470876196	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	19	na	0.1607490310605159	4.075866335892841	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	18	na	0.14047783656785712	4.188978469191774	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	17	na	0.14355163130674597	4.768959488889545	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	16	na	0.15739941847817468	4.086091189840972	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	15	na	0.13890575402162697	4.738689883641639	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	14	na	0.15489285641567455	3.842706800212146	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	13	na	0.14346468138095242	3.9699735235451596	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	12	na	0.14601280520337306	4.519564067264628	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	11	na	0.14131198652599214	4.387073915449703	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	10	na	0.1430010693773809	4.029855022290005	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	1	na	0.1437161629486111	4.270444037527493	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	8	na	0.1438908404876985	4.091198768894332	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
metascope_toy.profile	9	na	0.14444680169464283	4.49430228861027	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
