tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metascope_toy.profile	0	0.99999984	0.14336038192361114	4.5500250796078685	0.9854486000000001	0.5	0.4090909090909091	0.45	9.0	13.0	9.0	22.0	0.2903225806451613	0.9108760274053269	0.29468247076829696	0.4980618193318148
metascope_toy.profile	7	0.9999999100000001	0.14222390048273817	3.8580036418901282	0.9763607900000004	0.5263157894736842	0.5	0.5128205128205129	10.0	10.0	9.0	20.0	0.3448275862068966	0.5981962520800209	0.19968281456952428	0.4888518550212053
metascope_toy.profile	6	0.99999987	0.14268096972658734	4.408436025895456	0.9692828700000004	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	0.9403944518088266	0.30423213721543	0.48846935686558546
metascope_toy.profile	5	0.99999989	0.14172201821150804	4.482665390987874	0.9567448900000001	0.5263157894736842	0.5	0.5128205128205129	10.0	10.0	9.0	20.0	0.3448275862068966	0.604193509261094	0.20168474819824547	0.4853762076844746
metascope_toy.profile	4	0.99999989	0.13877553523690475	4.520248607837828	0.9534918900000002	0.55	0.5	0.5238095238095238	11.0	11.0	9.0	22.0	0.3548387096774194	0.9658422399146797	0.3124648899161265	0.4811727608644549
metascope_toy.profile	3	0.99999986	0.1437786008617063	3.8961139757097425	0.9663818600000001	0.5263157894736842	0.47619047619047616	0.5	10.0	11.0	9.0	21.0	0.3333333333333333	0.9428397142702997	0.3096839433955097	0.490552688535541
metascope_toy.profile	2	0.99999987	0.14018999050595238	3.8613084470876196	0.9529194100000001	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	1.0020794861026754	0.3241881990374959	0.4795687805764479
metascope_toy.profile	19	0.9999998800000001	0.1607490310605159	4.075866335892841	0.9783448800000002	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	1.092508368569049	0.3534433399263328	0.5728273164184089
metascope_toy.profile	18	0.99999989	0.14047783656785712	4.188978469191774	0.93724171	0.55	0.55	0.55	11.0	9.0	9.0	20.0	0.3793103448275862	0.8638686649528348	0.2883664446849862	0.4852212718393372
metascope_toy.profile	17	0.9999998800000001	0.14355163130674597	4.768959488889545	0.9800769400000001	0.5	0.391304347826087	0.4390243902439025	9.0	14.0	9.0	23.0	0.28125	0.6467309359558522	0.2062612434972088	0.4992015948259229
metascope_toy.profile	16	0.9999998099999999	0.15739941847817468	4.086091189840972	0.9865521499999999	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	0.47620911519054465	0.15406100769439743	0.5593368913594591
metascope_toy.profile	15	0.99999989	0.13890575402162697	4.738689883641639	0.9351479500000002	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	0.8987184746009544	0.29074931456361147	0.47689320989019607
metascope_toy.profile	14	0.99999983	0.15489285641567455	3.842706800212146	0.9736038299999997	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	0.5259476084482457	0.1701521788795948	0.5521860341460268
metascope_toy.profile	13	0.99999987	0.14346468138095242	3.9699735235451596	0.9725007500000001	0.5	0.47619047619047616	0.4878048780487805	10.0	11.0	10.0	21.0	0.3225806451612903	0.9770865312522803	0.3209326097077176	0.4945567347852737
metascope_toy.profile	12	0.99999976	0.14601280520337306	4.519564067264628	0.9592698200000003	0.5263157894736842	0.4166666666666667	0.46511627906976744	10.0	14.0	9.0	24.0	0.30303030303030304	1.0451810579399858	0.3288745608898498	0.5017096950789417
metascope_toy.profile	11	0.99999986	0.14131198652599214	4.387073915449703	0.9668305199999996	0.5	0.45454545454545453	0.47619047619047616	10.0	12.0	10.0	22.0	0.3125	0.9375291555676809	0.30330516960357057	0.4890612619731372
metascope_toy.profile	10	0.99999987	0.1430010693773809	4.029855022290005	0.9738654500000001	0.55	0.5238095238095238	0.5365853658536585	11.0	10.0	9.0	21.0	0.36666666666666664	0.9963488343439719	0.32725948148669365	0.4922196886702873
metascope_toy.profile	1	0.9999998800000001	0.1437161629486111	4.270444037527493	0.9669653800000002	0.5263157894736842	0.4166666666666667	0.46511627906976744	10.0	14.0	9.0	24.0	0.30303030303030304	0.8957127170213995	0.28184315459607345	0.4939053574396925
metascope_toy.profile	8	0.9999998600000001	0.1438908404876985	4.091198768894332	0.9720058600000001	0.55	0.4782608695652174	0.5116279069767442	11.0	12.0	9.0	23.0	0.34375	0.8665425359078731	0.27636553481923365	0.49567102810006375
metascope_toy.profile	9	0.99999949	0.14444680169464283	4.49430228861027	0.97278155	0.5263157894736842	0.47619047619047616	0.5	10.0	11.0	9.0	21.0	0.3333333333333333	0.9893585661587436	0.32496346681502797	0.4970917968696205
