tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metascope_toy.profile	0	1.0	0.01349702680853174	7.076906767218603	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	7	1.0	0.013355798729166696	6.511582009819262	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	6	1.0	0.014960461761904792	7.084489870910219	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	5	1.0	0.015421585352777809	7.449729685657553	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	4	1.0	0.011507057731349205	7.793911140249712	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	3	1.0	0.01587698545416663	6.023245271608454	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	2	1.0	0.014520123550000017	5.818380789620774	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	19	0.9999999900000001	0.02548766206051587	5.950166667996449	9.999999974752426e-09	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.99999988922529e-09	0.0	5.0000000123762136e-09
metascope_toy.profile	18	1.0	0.01315684442896825	6.468022366637422	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	17	1.0	0.012056603966269851	7.996834009560496	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	16	1.0	0.03378238465912702	6.400670838601603	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	15	1.0	0.021891960734722264	7.89519919762254	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	14	1.0	0.033470601484325416	5.779398488951584	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	13	1.0	0.014658676027380921	6.12029562716378	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	12	1.0	0.01836680693313498	7.216011574700368	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	11	1.0	0.014429514808928548	7.365702446965602	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	10	1.0	0.01847536918293653	6.191380636377308	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	1	1.0	0.01538952718353174	6.683189875173989	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	8	1.0	0.012255115256746042	6.153920582164849	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
metascope_toy.profile	9	1.0	0.016149470005754	6.647409371217612	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
