tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metascope_toy.profile	0	0.9999926600000001	0.01349702680853174	7.076906767218603	0.64174072	0.8135593220338984	0.06717984604618614	0.12411118293471235	96.0	1333.0	22.0	1429.0	0.06616126809097174	3.2581077901920525	0.44848297326859177	0.3208737837232723
metascope_toy.profile	7	0.99999449	0.013355798729166696	6.511582009819262	0.6868311899999991	0.8727272727272727	0.08791208791208792	0.15973377703826955	96.0	996.0	14.0	1092.0	0.0867992766726944	3.201628267699928	0.4576522708401994	0.34341362208874116
metascope_toy.profile	6	0.9999922000000001	0.014960461761904792	7.084489870910219	0.9822657599999987	0.849624060150376	0.07380796864794252	0.1358173076923077	113.0	1418.0	20.0	1531.0	0.07285622179239201	3.4797666481714344	0.4744914365504082	0.491131111927997
metascope_toy.profile	5	0.9999929299999999	0.015421585352777809	7.449729685657553	0.6791287700000005	0.8916666666666667	0.07804522246535375	0.14352783366867874	107.0	1264.0	13.0	1371.0	0.0773121387283237	3.2599262701292475	0.4513073276721767	0.3395689810661588
metascope_toy.profile	4	0.9999935499999999	0.011507057731349205	7.793911140249712	0.3844960100000001	0.8476190476190476	0.07074721780604133	0.1305942773294204	89.0	1169.0	16.0	1258.0	0.06985871271585557	3.2853391043331124	0.46030698300656125	0.19224699089712302
metascope_toy.profile	3	0.99999342	0.01587698545416663	6.023245271608454	0.7153232400000007	0.872	0.0865079365079365	0.15740072202166064	109.0	1151.0	16.0	1260.0	0.08542319749216301	3.233118682838761	0.45288960879414514	0.35765957776381097
metascope_toy.profile	2	0.9999941699999999	0.014520123550000017	5.818380789620774	0.5983540500000003	0.8503937007874016	0.08940397350993377	0.16179775280898875	108.0	1100.0	19.0	1208.0	0.08801955990220049	3.409005176137061	0.48036339519646226	0.2991744565872902
metascope_toy.profile	19	0.9999918	0.02548766206051587	5.950166667996449	0.924318019999999	0.86	0.07861060329067641	0.1440536013400335	129.0	1512.0	21.0	1641.0	0.0776173285198556	3.7254870941572658	0.5032360328136496	0.4621555900486336
metascope_toy.profile	18	0.99999291	0.01315684442896825	6.468022366637422	0.5610084499999997	0.8833333333333333	0.0748587570621469	0.13802083333333334	106.0	1310.0	14.0	1416.0	0.07412587412587412	3.2643624867205507	0.44990991958216864	0.2805059206582904
metascope_toy.profile	17	0.99999254	0.012056603966269851	7.996834009560496	0.4361477800000002	0.868421052631579	0.06748466257668712	0.12523719165085387	99.0	1368.0	15.0	1467.0	0.06680161943319839	3.107320895793548	0.4261873055861792	0.2180729588284658
metascope_toy.profile	16	0.9999932300000001	0.03378238465912702	6.400670838601603	1.0530654099999996	0.8686131386861314	0.08782287822878229	0.15951742627345847	119.0	1236.0	18.0	1355.0	0.08667152221412965	2.596444227698797	0.36003935401416415	0.5265236935469849
metascope_toy.profile	15	0.9999929399999999	0.021891960734722264	7.89519919762254	0.9142018000000004	0.8545454545454545	0.06714285714285714	0.12450331125827814	94.0	1306.0	16.0	1400.0	0.06638418079096045	3.496515718050293	0.48266232811147136	0.4570983996717538
metascope_toy.profile	14	0.9999930400000001	0.033470601484325416	5.779398488951584	1.0656365000000023	0.8484848484848485	0.08459214501510574	0.15384615384615385	112.0	1212.0	20.0	1324.0	0.08333333333333333	2.628403428743483	0.3656444788428151	0.532819571392537
metascope_toy.profile	13	0.99999381	0.014658676027380921	6.12029562716378	0.5605004099999998	0.8771929824561403	0.0831255195344971	0.15186028853454822	100.0	1103.0	14.0	1203.0	0.08216926869350863	3.4673378369156236	0.48886877680327834	0.28025331441052337
metascope_toy.profile	12	0.99999324	0.01836680693313498	7.216011574700368	0.8338774399999989	0.8392857142857143	0.06999255398361877	0.12920962199312716	94.0	1249.0	18.0	1343.0	0.06906686260102865	3.3488307538098923	0.4649435344017556	0.4169388784367738
metascope_toy.profile	11	0.99999398	0.014429514808928548	7.365702446965602	0.5478484199999994	0.87	0.07525951557093426	0.13853503184713375	87.0	1069.0	13.0	1156.0	0.07442258340461934	3.3867690343635384	0.48020742784548137	0.27392708897370516
metascope_toy.profile	10	0.9999931599999999	0.01847536918293653	6.191380636377308	0.9694049799999978	0.8372093023255814	0.07976366322008863	0.1456507080242751	108.0	1246.0	21.0	1354.0	0.07854545454545454	3.3100947604769004	0.45904563841612084	0.4847036629828643
metascope_toy.profile	1	0.99999277	0.01538952718353174	6.683189875173989	0.5802295300000003	0.824	0.0723314606741573	0.1329890251775339	103.0	1321.0	22.0	1424.0	0.07123098201936376	3.4475275385120647	0.474785934170211	0.29011871496630426
metascope_toy.profile	8	0.99999337	0.012255115256746042	6.153920582164849	0.4293582699999995	0.8571428571428571	0.0781010719754977	0.14315789473684212	102.0	1204.0	17.0	1306.0	0.07709750566893424	3.2011366796404945	0.4461685970639753	0.214682100833223
metascope_toy.profile	9	0.9999929799999999	0.016149470005754	6.647409371217612	0.7296223999999993	0.860655737704918	0.07614213197969544	0.13990672884743505	105.0	1274.0	17.0	1379.0	0.07521489971346705	3.203892954635362	0.443193039810483	0.3648121156784104
