tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Sum of abundances (unfiltered)	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
metascope_toy.profile	0	0.99473945	0.013399942178571425	0.6736659752661321	0.17447130999999996	0.5217391304347826	1.0	0.6857142857142856	24.0	0.0	22.0	24.0	0.5217391304347826	2.159712416244302	0.6795707472355332	0.08746768709362979	0.9996271400000001	0.013497026808531737	7.076906767218601	0.17485522000000006	0.9782608695652174	0.2571428571428571	0.4072398190045249	45.0	130.0	1.0	175.0	0.2556818181818182	2.200705145701044	0.4260980332606584	0.08744588006772255
metascope_toy.profile	7	0.97889553	0.013276419926785724	0.7925788272523596	0.09249946999999997	0.4222222222222222	1.0	0.59375	19.0	0.0	26.0	19.0	0.4222222222222222	1.2519415479499494	0.4251884847361888	0.047170947519276606	0.98340422	0.013355798729166698	6.511582009819262	0.09211258000000003	0.9777777777777777	0.30344827586206896	0.46315789473684205	44.0	101.0	1.0	145.0	0.3013698630136986	1.2908489987356326	0.25937674497888485	0.046865893148898954
metascope_toy.profile	6	0.9920305500000001	0.014858195856150797	0.9000607765891573	0.11603812999999999	0.5961538461538461	1.0	0.7469879518072289	31.0	0.0	21.0	31.0	0.5961538461538461	2.290781130847341	0.6670907590614611	0.05834537463535751	0.9969528400000001	0.014960461761904808	7.084489870910218	0.11733658	0.9807692307692307	0.3128834355828221	0.4744186046511628	51.0	112.0	1.0	163.0	0.31097560975609756	2.3326852330854395	0.45795045715354915	0.05885259159879898
metascope_toy.profile	5	0.9949699	0.015330858572619043	0.8161074233012594	0.09309849999999997	0.5319148936170213	0.9615384615384616	0.684931506849315	25.0	1.0	22.0	26.0	0.5208333333333334	1.9437216090815321	0.5965819571024376	0.04666919215730387	0.99977168	0.015421585352777809	7.449729685657553	0.09284449999999994	0.9787234042553191	0.2948717948717949	0.45320197044334976	46.0	110.0	1.0	156.0	0.2929936305732484	1.9841011850671504	0.39290252676884035	0.0464301041164123
metascope_toy.profile	4	0.98622514	0.011409396054166665	1.090297398005763	0.05998947999999998	0.6190476190476191	1.0	0.7647058823529412	26.0	0.0	16.0	26.0	0.6190476190476191	2.2222365501892685	0.6820659008277109	0.0302243370607786	0.99112767	0.011507057731349208	7.793911140249714	0.06059016999999998	0.9761904761904762	0.2662337662337662	0.4183673469387754	41.0	113.0	1.0	154.0	0.2645161290322581	2.264427733478527	0.44956304182680784	0.030451764352132836
metascope_toy.profile	3	0.99490793	0.01578605901765873	0.6411278191152435	0.10164643000000004	0.5625	1.0	0.72	27.0	0.0	21.0	27.0	0.5625	1.9263008478184966	0.5844648646563099	0.05095907367398243	0.99963459	0.01587698545416663	6.023245271608455	0.10156517000000001	0.9791666666666666	0.29936305732484075	0.4585365853658536	47.0	110.0	1.0	157.0	0.2974683544303797	1.9661671589708658	0.38885909322112616	0.050797961797025774
metascope_toy.profile	2	0.97082981	0.014433588957142866	0.627980882561457	0.12433083000000003	0.5333333333333333	1.0	0.6956521739130436	24.0	0.0	21.0	24.0	0.5333333333333333	1.7400690069724112	0.5475265995673527	0.06396955442042698	0.97510093	0.014520123550000019	5.818380789620773	0.12471319000000004	0.9777777777777777	0.2953020134228188	0.45360824742268036	44.0	105.0	1.0	149.0	0.29333333333333333	1.7772561927432455	0.35517091592921196	0.06402558415587883
metascope_toy.profile	19	0.99364755	0.025371393264682553	0.8707130833140506	0.23526652999999997	0.5740740740740741	0.8157894736842105	0.6739130434782609	31.0	7.0	23.0	38.0	0.5081967213114754	2.2919721261939197	0.6300805054652833	0.11807868436512922	0.99841133	0.0254876620605159	5.950166667996448	0.23638256999999996	0.9814814814814815	0.29120879120879123	0.4491525423728814	53.0	129.0	1.0	182.0	0.2896174863387978	2.3354125330994053	0.4487720084793469	0.11835583926578559
metascope_toy.profile	18	0.99478639	0.013062677767857144	0.8223884640459563	0.07827811000000001	0.5102040816326531	1.0	0.6756756756756758	25.0	0.0	24.0	25.0	0.5102040816326531	1.8789153277803863	0.583717866114739	0.03924239218755947	0.99963732	0.013156844428968245	6.468022366637424	0.07766404000000002	0.9795918367346939	0.28402366863905326	0.44036697247706424	48.0	121.0	1.0	169.0	0.2823529411764706	1.9219491060514473	0.37465634564293115	0.038840092524830366
metascope_toy.profile	17	0.99511624	0.011956568911507943	0.9988507110544084	0.08992551999999998	0.5555555555555556	1.0	0.7142857142857143	25.0	0.0	20.0	25.0	0.5555555555555556	1.9235174452650523	0.5975742929890165	0.045073748697317284	0.99965041	0.012056603966269851	7.996834009560496	0.09038298999999993	0.9777777777777777	0.2430939226519337	0.3893805309734513	44.0	137.0	1.0	181.0	0.24175824175824176	1.963783033718294	0.37775976823826635	0.045200322396962506
