tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Sum of abundances (unfiltered)	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
metascope_toy.profile	0	0.9949941200000001	0.013399942178571425	0.6736659752661321	0.20477616000000004	0.6219512195121951	0.75	0.6799999999999999	51.0	17.0	31.0	68.0	0.5151515151515151	2.6567166050151645	0.6296271486259278	0.10264504571324033	0.9999902500000001	0.013497026808531737	7.076906767218601	0.20752453000000007	0.9878048780487805	0.15083798882681565	0.2617124394184168	81.0	456.0	1.0	537.0	0.15055762081784388	2.707078424613806	0.43065212300630107	0.10376282272517215
metascope_toy.profile	7	0.9950436100000001	0.013276419926785724	0.7925788272523596	0.1463196299999999	0.5555555555555556	0.6338028169014085	0.5921052631578948	45.0	26.0	36.0	71.0	0.4205607476635514	2.2614441424366967	0.5305216923787256	0.073341018287177	0.9999901299999999	0.013355798729166698	6.511582009819262	0.14865258999999997	0.9753086419753086	0.17555555555555555	0.2975517890772128	79.0	371.0	2.0	450.0	0.1747787610619469	2.311129427715896	0.3783001746788163	0.0743261043535423
metascope_toy.profile	6	0.9951107100000001	0.014858195856150797	0.9000607765891573	0.15142086999999996	0.7065217391304348	0.6842105263157895	0.6951871657754011	65.0	30.0	27.0	95.0	0.5327868852459017	2.838224198965989	0.6232544854695105	0.07589578350821566	0.99998874	0.014960461761904808	7.084489870910218	0.15438542	0.9782608695652174	0.1565217391304348	0.2698650674662669	90.0	485.0	2.0	575.0	0.1559792027729636	2.8879305015174306	0.4544794343067643	0.07719295161393853
metascope_toy.profile	5	0.99513561	0.015330858572619043	0.8161074233012594	0.5042177300000001	0.6973684210526315	0.6708860759493671	0.6838709677419355	53.0	26.0	23.0	79.0	0.5196078431372549	2.6847983493333123	0.6144479668792605	0.25272493130140883	0.99999076	0.015421585352777809	7.449729685657553	0.5078270800000004	0.9868421052631579	0.1485148514851485	0.2581755593803786	75.0	430.0	1.0	505.0	0.1482213438735178	2.733714513354912	0.4391820792456053	0.2539161096310295
metascope_toy.profile	4	0.99501209	0.011409396054166665	1.090297398005763	0.15229992999999997	0.76	0.6951219512195121	0.7261146496815286	57.0	25.0	18.0	82.0	0.57	2.9145233986499837	0.6613816844491186	0.07634001001964345	0.9999916799999999	0.011507057731349208	7.793911140249714	0.1557564000000001	0.9866666666666667	0.148	0.2573913043478261	74.0	426.0	1.0	500.0	0.14770459081836326	2.9639245735872892	0.4769286375982085	0.07787817352142101
metascope_toy.profile	3	0.99510966	0.01578605901765873	0.6411278191152435	0.5115607199999999	0.6626506024096386	0.6875	0.6748466257668712	55.0	25.0	28.0	80.0	0.5092592592592593	2.8005550306456604	0.6391004126915999	0.2564061628294329	0.99998957	0.01587698545416663	6.023245271608455	0.5147717100000002	0.9759036144578314	0.1643002028397566	0.28125000000000006	81.0	412.0	2.0	493.0	0.16363636363636364	2.8498766487277942	0.45961977778507085	0.2573860390310179
metascope_toy.profile	2	0.99507633	0.014433588957142866	0.627980882561457	0.15644471	0.6162790697674418	0.7361111111111112	0.6708860759493671	53.0	19.0	33.0	72.0	0.5047619047619047	2.5064350724873763	0.5860721886477401	0.07841477191183427	0.99999128	0.014520123550000019	5.818380789620773	0.1598741800000001	0.9651162790697675	0.17436974789915966	0.29537366548042704	83.0	393.0	3.0	476.0	0.1732776617954071	2.5561258195423795	0.41459084849992306	0.07993679903005152
metascope_toy.profile	19	0.99501101	0.025371393264682553	0.8707130833140506	0.2682650499999999	0.7340425531914894	0.6106194690265486	0.6666666666666665	69.0	44.0	25.0	113.0	0.5	3.0659019323900387	0.648540388468729	0.134467280622774	0.9999553299999999	0.0254876620605159	5.950166667996448	0.27189711000000005	0.9787234042553191	0.1513157894736842	0.2621082621082621	92.0	516.0	2.0	608.0	0.15081967213114755	3.1173546132330903	0.4863135048004988	0.13595091170905446
metascope_toy.profile	18	0.99508746	0.013062677767857144	0.8223884640459563	0.14264199999999994	0.6588235294117647	0.6588235294117647	0.6588235294117647	56.0	29.0	29.0	85.0	0.49122807017543857	2.84913959171888	0.6413151578253057	0.07149686584570128	0.99999284	0.013156844428968245	6.468022366637424	0.14533676000000006	0.9882352941176471	0.15555555555555556	0.26880000000000004	84.0	456.0	1.0	540.0	0.15526802218114602	2.8992597214657727	0.46081663527094385	0.07266889449577302
metascope_toy.profile	17	0.9950304200000001	0.011956568911507943	0.9988507110544084	0.13146950000000004	0.7	0.6829268292682927	0.6913580246913581	56.0	26.0	24.0	82.0	0.5283018867924528	2.7851208314932565	0.632016853177632	0.06589826270025555	0.99999174	0.012056603966269851	7.996834009560496	0.13450598000000014	0.9875	0.13908450704225353	0.2438271604938272	79.0	489.0	1.0	568.0	0.13884007029876977	2.835813474333886	0.44713957477428895	0.06725303236941042
metascope_toy.profile	16	0.99501853	0.033718972045436495	0.41891444082421	0.8547768300000004	0.5543478260869565	0.8360655737704918	0.6666666666666666	51.0	10.0	41.0	61.0	0.5	2.350680826258532	0.5718202270191156	0.4284502153193619	0.99999372	0.033782384659127036	6.400670838601601	0.8565064800000001	0.9782608695652174	0.1727447216890595	0.2936378466557912	90.0	431.0	2.0	521.0	0.17208413001912046	2.4000160009321574	0.38364959995420134	0.4282492315871923
metascope_toy.profile	15	0.99499313	0.021784689288690522	1.197516069245128	0.33613145000000005	0.7037037037037037	0.6785714285714286	0.6909090909090909	57.0	27.0	24.0	84.0	0.5277777777777778	2.7631630016941098	0.6236238434447227	0.1684864246507353	0.99999189	0.021891960734722275	7.895199197622538	0.3400480700000001	0.9876543209876543	0.14414414414414414	0.25157232704402516	80.0	475.0	1.0	555.0	0.14388489208633093	2.8140412893890083	0.445332408509433	0.17002361929225085
metascope_toy.profile	14	0.99503588	0.03339747073055557	0.3570251006571821	0.8510629999999999	0.5517241379310345	0.8135593220338984	0.6575342465753424	48.0	11.0	39.0	59.0	0.4897959183673469	2.3839714369603775	0.5846596063816549	0.4265888260005719	0.99999375	0.033470601484325416	5.779398488951584	0.8537730899999996	0.9885057471264368	0.17269076305220885	0.294017094017094	86.0	412.0	1.0	498.0	0.17234468937875752	2.4334167203220467	0.39181668279111564	0.4268863849176056
metascope_toy.profile	13	0.9950393599999999	0.014562663265079368	0.8776001046195039	0.1423629399999999	0.6835443037974683	0.72	0.7012987012987013	54.0	21.0	25.0	75.0	0.54	2.42180769966912	0.5609297897256973	0.07135878373299541	0.9999907400000001	0.014658676027380916	6.120295627163781	0.14559455999999982	0.9873417721518988	0.16595744680851063	0.28415300546448086	78.0	392.0	1.0	470.0	0.16560509554140126	2.4715443561310035	0.40169864006254613	0.0727979446452346
