tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Sum of abundances (unfiltered)	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
metascope_toy.profile	0	0.99990606	0.01349234027896826	4.255552966709052	0.03254694000000001	0.6	0.8571428571428571	0.7058823529411764	6.0	1.0	4.0	7.0	0.5454545454545454	0.9098384455621322	0.4675644689986504	0.016274250675804923	0.99999984	0.013497026808531737	7.076906767218604	0.03255648000000001	0.9	0.4090909090909091	0.5625000000000001	9.0	13.0	1.0	22.0	0.391304347826087	0.9108760274053269	0.29468247076829696	0.016278257580518186
metascope_toy.profile	7	0.9999187300000001	0.013350773587500012	3.8760876009223413	0.018956130000000106	0.8181818181818182	1.0	0.9	9.0	0.0	2.0	9.0	0.8181818181818182	0.5973378473166279	0.2718601700882136	0.009478450156822174	0.9999999100000001	0.013355798729166693	6.511582009819262	0.0190371900000001	0.9090909090909091	0.5	0.6451612903225806	10.0	10.0	1.0	20.0	0.47619047619047616	0.5981962520800209	0.19968281456952428	0.009518595428336845
metascope_toy.profile	6	0.9999170400000001	0.014955997159325444	4.466493857828085	0.02274517999999995	0.8181818181818182	0.9	0.8571428571428572	9.0	1.0	2.0	10.0	0.75	0.9395226642772369	0.40802950871864535	0.011373056067837638	0.99999987	0.014960461761904815	7.084489870910221	0.022750009999999952	0.9090909090909091	0.45454545454545453	0.6060606060606061	10.0	12.0	1.0	22.0	0.43478260869565216	0.9403944518088266	0.30423213721543	0.011375000051874954
metascope_toy.profile	5	0.99991559	0.015417347652380958	4.557040013181662	0.02135699	0.8181818181818182	0.9	0.8571428571428572	9.0	1.0	2.0	10.0	0.75	0.6033042797302203	0.2620117195954505	0.010678945704903475	0.99999989	0.015421585352777786	7.449729685657554	0.02133743	0.9090909090909091	0.5	0.6451612903225806	10.0	10.0	1.0	20.0	0.47619047619047616	0.604193509261094	0.20168474819824547	0.010668715586779356
metascope_toy.profile	4	0.9999322700000001	0.01150306927976189	4.720331217147096	0.0488662300000001	0.8333333333333334	0.8333333333333334	0.8333333333333334	10.0	2.0	2.0	12.0	0.7142857142857143	0.9651001053734001	0.388384853594294	0.024433966890255683	0.99999989	0.011507057731349196	7.793911140249712	0.0488918500000001	0.9166666666666666	0.5	0.6470588235294118	11.0	11.0	1.0	22.0	0.4782608695652174	0.9658422399146797	0.3124648899161265	0.02444595079047814
metascope_toy.profile	3	0.99993173	0.015872303921031727	3.64883933696778	0.01961862999999997	0.8181818181818182	0.9	0.8571428571428572	9.0	1.0	2.0	10.0	0.75	0.9421008511060537	0.40914920103171615	0.00980964004242279	0.99999986	0.015876985454166635	6.023245271608453	0.019620879999999973	0.9090909090909091	0.47619047619047616	0.6249999999999999	10.0	11.0	1.0	21.0	0.45454545454545453	0.9428397142702997	0.3096839433955097	0.00981043087629927
metascope_toy.profile	2	0.99993864	0.014516168252976192	3.4106450705227473	0.04692831999999993	0.7272727272727273	0.8888888888888888	0.7999999999999999	8.0	1.0	3.0	9.0	0.6666666666666666	1.001400369966034	0.45575694915085585	0.023464891635321155	0.99999987	0.014520123550000017	5.8183807896207735	0.04693508999999993	0.9090909090909091	0.45454545454545453	0.6060606060606061	10.0	12.0	1.0	22.0	0.43478260869565216	1.0020794861026754	0.3241881990374959	0.02346755825917038
metascope_toy.profile	19	0.99990928	0.025482655479960335	3.9112756200530483	0.22726772000000003	0.9090909090909091	1.0	0.9523809523809523	10.0	0.0	1.0	10.0	0.9090909090909091	1.0915369964678758	0.47404849435924773	0.11363901466570524	0.9999998800000001	0.02548766206051591	5.950166667996449	0.22735832000000003	0.9090909090909091	0.45454545454545453	0.6060606060606061	10.0	12.0	1.0	22.0	0.43478260869565216	1.092508368569049	0.3534433399263328	0.11367916682075005
metascope_toy.profile	18	0.99994793	0.013152707375595221	4.0010955089551725	0.04113207000000003	0.75	0.9	0.8181818181818182	9.0	1.0	3.0	10.0	0.6923076923076923	0.8632848564204434	0.37491984945403956	0.020566560167113883	0.99999989	0.013156844428968242	6.468022366637424	0.04115185000000003	0.9166666666666666	0.55	0.6874999999999999	11.0	9.0	1.0	20.0	0.5238095238095238	0.8638686649528348	0.2883664446849862	0.020575915843717464
metascope_toy.profile	17	0.9999114900000001	0.012051327214682547	4.979183965494866	0.026482630000000045	0.8	0.8888888888888888	0.8421052631578948	8.0	1.0	2.0	9.0	0.7272727272727273	0.6457504588504068	0.29389369912895985	0.013241881156628875	0.9999998800000001	0.012056603966269858	7.996834009560497	0.026529080000000035	0.9	0.391304347826087	0.5454545454545454	9.0	14.0	1.0	23.0	0.375	0.6467309359558522	0.2062612434972088	0.01326452089908993
metascope_toy.profile	16	0.9999097899999999	0.03377793659761906	3.568186459600359	0.20665991000000003	0.7272727272727273	1.0	0.8421052631578948	8.0	0.0	3.0	8.0	0.7272727272727273	0.475245289639317	0.22854467418949392	0.10333456423823785	0.9999998099999999	0.03378238465912701	6.400670838601603	0.20666880999999995	0.9090909090909091	0.45454545454545453	0.6060606060606061	10.0	12.0	1.0	22.0	0.43478260869565216	0.47620911519054465	0.15406100769439743	0.1033343631495829
metascope_toy.profile	15	0.99990007	0.02188688196230163	5.114214053753951	0.1456835300000001	0.8181818181818182	1.0	0.9	9.0	0.0	2.0	9.0	0.8181818181818182	0.8976675036531456	0.4085460871466415	0.07284533187167515	0.99999989	0.021891960734722285	7.89519919762254	0.1457724100000001	0.9090909090909091	0.45454545454545453	0.6060606060606061	10.0	12.0	1.0	22.0	0.43478260869565216	0.8987184746009544	0.29074931456361147	0.07288613612260139
