taxid	rank	pct	classification	pct_gs	sample	tool
100886	species	1.2286	TP	1.2286	0	Gold standard
100886.1	strain	1.2286	TP	1.2286	0	Gold standard
102106	genus	1.0762	TP	1.0762	0	Gold standard
103621	species	0.0109	TP	0.0109	0	Gold standard
103621.1	strain	0.0109	TP	0.0109	0	Gold standard
1131492	family	1.4439	TP	1.4439	0	Gold standard
1150298	species	0.1869	TP	0.1869	0	Gold standard
1150298.2	strain	0.1869	TP	0.1869	0	Gold standard
1164882	genus	0.001	TP	0.001	0	Gold standard
1196081	species	0.1343	TP	0.1343	0	Gold standard
1196081.1	strain	0.1343	TP	0.1343	0	Gold standard
1224	phylum	1.5746	TP	1.5746	0	Gold standard
1236	class	1.259	TP	1.259	0	Gold standard
1239	phylum	58.8553	TP	58.8553	0	Gold standard
1263	genus	5.5715	TP	5.5715	0	Gold standard
128827	family	0.0699	TP	0.0699	0	Gold standard
129132	species	0.0026	TP	0.0026	0	Gold standard
129132.1	strain	0.0026	TP	0.0026	0	Gold standard
1297617	species	0.0046	TP	0.0046	0	Gold standard
1297617.3	strain	0.0046	TP	0.0046	0	Gold standard
1300	family	1.346	TP	1.346	0	Gold standard
1301	genus	1.3373	TP	1.3373	0	Gold standard
1304	species	1.2407	TP	1.2407	0	Gold standard
1304.2	strain	1.2389	TP	1.2389	0	Gold standard
1304.26	strain	0.0004	TP	0.0004	0	Gold standard
1304.7	strain	0.0014	TP	0.0014	0	Gold standard
1309	species	0.0236	TP	0.0236	0	Gold standard
1309.2	strain	0.0236	TP	0.0236	0	Gold standard
131567	cellular root	100.0	TP	100.0	0	Gold standard
1318	species	0.0117	TP	0.0117	0	Gold standard
1318.3	strain	0.0117	TP	0.0117	0	Gold standard
1328	species	0.0594	TP	0.0594	0	Gold standard
1328.4	strain	0.058	TP	0.058	0	Gold standard
1328.5	strain	0.0014	TP	0.0014	0	Gold standard
1350	genus	0.59	TP	0.59	0	Gold standard
1351	species	0.085	TP	0.085	0	Gold standard
1351.102	strain	0.0038	TP	0.0038	0	Gold standard
1351.14	strain	0.0004	TP	0.0004	0	Gold standard
1351.21	strain	0.0405	TP	0.0405	0	Gold standard
1351.24	strain	0.0034	TP	0.0034	0	Gold standard
1351.43	strain	0.0034	TP	0.0034	0	Gold standard
1351.67	strain	0.0018	TP	0.0018	0	Gold standard
1351.69	strain	0.0151	TP	0.0151	0	Gold standard
1351.71	strain	0.0004	TP	0.0004	0	Gold standard
1351.77	strain	0.0024	TP	0.0024	0	Gold standard
1351.80	strain	0.0034	TP	0.0034	0	Gold standard
1351.97	strain	0.0105	TP	0.0105	0	Gold standard
1354	species	0.5038	TP	0.5038	0	Gold standard
1354.1	strain	0.4255	TP	0.4255	0	Gold standard
1354.6	strain	0.0749	TP	0.0749	0	Gold standard
1354.9	strain	0.0034	TP	0.0034	0	Gold standard
135621	family	0.001	TP	0.001	0	Gold standard
135623	order	0.0056	TP	0.0056	0	Gold standard
135624	order	0.0014	TP	0.0014	0	Gold standard
1357	genus	0.0085	TP	0.0085	0	Gold standard
135858	genus	1.2286	TP	1.2286	0	Gold standard
1378	genus	0.0028	TP	0.0028	0	Gold standard
1385	order	0.0028	TP	0.0028	0	Gold standard
1392389	genus	0.0046	TP	0.0046	0	Gold standard
1407607	genus	0.1869	TP	0.1869	0	Gold standard
1432051	genus	0.0695	TP	0.0695	0	Gold standard
1468449	species	0.0024	TP	0.0024	0	Gold standard
1468449.1	strain	0.0024	TP	0.0024	0	Gold standard
147545	class	1.6022	TP	1.6022	0	Gold standard
1485	genus	4.042	TP	4.042	0	Gold standard
149539.12	strain	0.0062	TP	0.0062	0	Gold standard
1496	species	2.1652	TP	2.1652	0	Gold standard
1496.16	strain	0.0028	TP	0.0028	0	Gold standard
1496.29	strain	0.0004	TP	0.0004	0	Gold standard
1496.30	strain	0.001	TP	0.001	0	Gold standard
1496.34	strain	0.0075	TP	0.0075	0	Gold standard
1496.7	strain	2.1533	TP	2.1533	0	Gold standard
1501226	genus	0.5614	TP	0.5614	0	Gold standard
1502	species	0.0123	TP	0.0123	0	Gold standard
1502.9	strain	0.0123	TP	0.0123	0	Gold standard
1505657	genus	0.0137	TP	0.0137	0	Gold standard
1506553	genus	1.3545	TP	1.3545	0	Gold standard
154288	species	0.0393	TP	0.0393	0	Gold standard
154288.2	strain	0.0393	TP	0.0393	0	Gold standard
1547	species	0.1132	TP	0.1132	0	Gold standard
1547.1	strain	0.1132	TP	0.1132	0	Gold standard
155616	class	0.0026	TP	0.0026	0	Gold standard
1561	species	0.0264	TP	0.0264	0	Gold standard
1561.1	strain	0.0264	TP	0.0264	0	Gold standard
1573535	genus	0.0004	TP	0.0004	0	Gold standard
1578	genus	4.7019	TP	4.7019	0	Gold standard
1583	species	0.5969	TP	0.5969	0	Gold standard
1583.1	strain	0.5969	TP	0.5969	0	Gold standard
1584	species	0.0034	TP	0.0034	0	Gold standard
1584.2	strain	0.0034	TP	0.0034	0	Gold standard
158836	species	0.0004	TP	0.0004	0	Gold standard
158836.4	strain	0.0004	TP	0.0004	0	Gold standard
158846	genus	0.0018	TP	0.0018	0	Gold standard
1596	species	0.0056	TP	0.0056	0	Gold standard
1596.4	strain	0.0056	TP	0.0056	0	Gold standard
1643822	order	0.0322	TP	0.0322	0	Gold standard
1643824	family	0.0004	TP	0.0004	0	Gold standard
1643826	family	0.0322	TP	0.0322	0	Gold standard
1654	genus	0.0109	TP	0.0109	0	Gold standard
1678	genus	0.3615	TP	0.3615	0	Gold standard
1680	species	0.0014	TP	0.0014	0	Gold standard
1680.2	strain	0.0014	TP	0.0014	0	Gold standard
1681	species	0.118	TP	0.118	0	Gold standard
1681.10	strain	0.0004	TP	0.0004	0	Gold standard
1681.13	strain	0.034	TP	0.034	0	Gold standard
1681.21	strain	0.0826	TP	0.0826	0	Gold standard
1681.4	strain	0.001	TP	0.001	0	Gold standard
1683	species	0.0004	TP	0.0004	0	Gold standard
1683.3	strain	0.0004	TP	0.0004	0	Gold standard
1685	species	0.2213	TP	0.2213	0	Gold standard
1685.1	strain	0.2171	TP	0.2171	0	Gold standard
1685.2	strain	0.0042	TP	0.0042	0	Gold standard
169435	species	0.0081	TP	0.0081	0	Gold standard
169435.2	strain	0.0081	TP	0.0081	0	Gold standard
171549	order	35.7137	TP	35.7137	0	Gold standard
171550	family	0.0014	TP	0.0014	0	Gold standard
171552	family	29.0657	TP	29.0657	0	Gold standard
1730	genus	0.1247	TP	0.1247	0	Gold standard
1735	species	0.0004	TP	0.0004	0	Gold standard
1735.1	strain	0.0004	TP	0.0004	0	Gold standard
1759442	family	0.0026	TP	0.0026	0	Gold standard
1760	class	0.3734	TP	0.3734	0	Gold standard
1766253	genus	0.0113	TP	0.0113	0	Gold standard
1776384	species	0.0018	TP	0.0018	0	Gold standard
1776384.1	strain	0.0018	TP	0.0018	0	Gold standard
1783272	kingdom	60.3375	TP	60.3375	0	Gold standard
1796635	species	0.0671	TP	0.0671	0	Gold standard
1796635.3	strain	0.0671	TP	0.0671	0	Gold standard
1838142	genus	0.0026	TP	0.0026	0	Gold standard
1843488	order	4.0495	TP	4.0495	0	Gold standard
1843489	order	0.1726	TP	0.1726	0	Gold standard
1843491	family	0.0018	TP	0.0018	0	Gold standard
1851469	order	0.0026	TP	0.0026	0	Gold standard
1853231	family	0.1265	TP	0.1265	0	Gold standard
186801	class	45.9302	TP	45.9302	0	Gold standard
186802	order	27.0324	TP	27.0324	0	Gold standard
186803	family	15.9823	TP	15.9823	0	Gold standard
186804	family	2.7403	TP	2.7403	0	Gold standard
186806	family	0.1247	TP	0.1247	0	Gold standard
186826	order	7.2473	TP	7.2473	0	Gold standard
1870884	genus	2.1652	TP	2.1652	0	Gold standard
187327	species	0.0038	TP	0.0038	0	Gold standard
187327.1	strain	0.0038	TP	0.0038	0	Gold standard
189330	genus	1.4088	TP	1.4088	0	Gold standard
1912216	genus	0.001	TP	0.001	0	Gold standard
1912855	species	7.1736	TP	7.1736	0	Gold standard
1912855.1	strain	7.1736	TP	7.1736	0	Gold standard
191303	genus	0.0393	TP	0.0393	0	Gold standard
1918536	genus	0.0671	TP	0.0671	0	Gold standard
1926556	genus	0.0018	TP	0.0018	0	Gold standard
192955.2	strain	0.0089	TP	0.0089	0	Gold standard
194	genus	0.0014	TP	0.0014	0	Gold standard
1940789	species	0.0085	TP	0.0085	0	Gold standard
1940789.1	strain	0.0085	TP	0.0085	0	Gold standard
194924	family	0.3699	TP	0.3699	0	Gold standard
197	species	0.0014	TP	0.0014	0	Gold standard
197.4	strain	0.0014	TP	0.0014	0	Gold standard
2	domain	97.9999	TP	97.9999	0	Gold standard
2003188	species	0.0004	TP	0.0004	0	Gold standard
2003188.1	strain	0.0004	TP	0.0004	0	Gold standard
2005355	genus	7.1736	TP	7.1736	0	Gold standard
2005525	family	0.3446	TP	0.3446	0	Gold standard
200643	class	35.7137	TP	35.7137	0	Gold standard
200940	phylum	0.3699	TP	0.3699	0	Gold standard
201174	phylum	1.4821	TP	1.4821	0	Gold standard
203490	class	0.0028	TP	0.0028	0	Gold standard
203491	order	0.0028	TP	0.0028	0	Gold standard
203492	family	0.0028	TP	0.0028	0	Gold standard
2037	order	0.0109	TP	0.0109	0	Gold standard
2041044	species	0.124	TP	0.124	0	Gold standard
2041044.1	strain	0.124	TP	0.124	0	Gold standard
2049	family	0.0109	TP	0.0109	0	Gold standard
206351	order	0.0004	TP	0.0004	0	Gold standard
207244	genus	0.9479	TP	0.9479	0	Gold standard
2082587	genus	0.0004	TP	0.0004	0	Gold standard
208479	species	0.0377	TP	0.0377	0	Gold standard
208479.1	strain	0.0348	TP	0.0348	0	Gold standard
208479.6	strain	0.0028	TP	0.0028	0	Gold standard
2109687	species	0.6176	TP	0.6176	0	Gold standard
2109687.1	strain	0.6176	TP	0.6176	0	Gold standard
213115	order	0.3699	TP	0.3699	0	Gold standard
213849	order	0.0014	TP	0.0014	0	Gold standard
216572	family	22.411	TP	22.411	0	Gold standard
216816	species	0.0147	TP	0.0147	0	Gold standard
216816.2	strain	0.0147	TP	0.0147	0	Gold standard
216851	genus	16.2022	TP	16.2022	0	Gold standard
225992	species	0.0038	TP	0.0038	0	Gold standard
225992.1	strain	0.0038	TP	0.0038	0	Gold standard
2292004	species	0.4501	TP	0.4501	0	Gold standard
2292004.1	strain	0.4501	TP	0.4501	0	Gold standard
2293000	species	0.0038	TP	0.0038	0	Gold standard
2293000.1	strain	0.0038	TP	0.0038	0	Gold standard
2293016	species	1.1944	TP	1.1944	0	Gold standard
2293016.1	strain	1.1944	TP	1.1944	0	Gold standard
2293045	species	0.0179	TP	0.0179	0	Gold standard
2293045.1	strain	0.0179	TP	0.0179	0	Gold standard
2293107	species	0.0004	TP	0.0004	0	Gold standard
2293107.1	strain	0.0004	TP	0.0004	0	Gold standard
2293124	species	0.0004	TP	0.0004	0	Gold standard
2293124.1	strain	0.0004	TP	0.0004	0	Gold standard
2302955	species	3.154	TP	3.154	0	Gold standard
2302955.1	strain	3.154	TP	3.154	0	Gold standard
2316020	genus	0.1132	TP	0.1132	0	Gold standard
239759	genus	0.0014	TP	0.0014	0	Gold standard
244127	genus	0.0081	TP	0.0081	0	Gold standard
244366	species	0.0034	TP	0.0034	0	Gold standard
244366.3	strain	0.0034	TP	0.0034	0	Gold standard
2584638	species	0.0316	TP	0.0316	0	Gold standard
2584638.1	strain	0.0316	TP	0.0316	0	Gold standard
261299	species	0.0137	TP	0.0137	0	Gold standard
261299.5	strain	0.0137	TP	0.0137	0	Gold standard
2652274	species	0.0695	TP	0.0695	0	Gold standard
2652274.1	strain	0.0695	TP	0.0695	0	Gold standard
2719313	genus	0.0377	TP	0.0377	0	Gold standard
27319	family	0.0185	TP	0.0185	0	Gold standard
2759	domain	2.0001	TP	2.0001	0	Gold standard
