tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Sum of abundances (unfiltered)	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
metascope_toy.profile	0	0.9822015999999999	0.013247695463095233	0.31570548632104545	0.18192098000000004	0.3333333333333333	1.0	0.5	10.0	0.0	20.0	10.0	0.3333333333333333	1.7183195860703933	0.7462567143766515	0.09177741916345779	0.9999904099999999	0.013497026808531747	7.076906767218601	0.16939159000000006	0.9666666666666667	0.32222222222222224	0.4833333333333334	29.0	61.0	1.0	90.0	0.31868131868131866	1.8270520201588107	0.4060287332163348	0.08469637051183765
metascope_toy.profile	7	0.98618871	0.013138557441865099	0.33398949772028397	0.08892306999999997	0.2413793103448276	1.0	0.3888888888888889	7.0	0.0	22.0	7.0	0.2413793103448276	1.1352823671744008	0.5834197266125313	0.044770705599268046	0.99999085	0.013355798729166696	6.511582009819263	0.07900228999999998	0.9655172413793104	0.36363636363636365	0.5283018867924528	28.0	49.0	1.0	77.0	0.358974358974359	1.224235851821478	0.2818348735563402	0.03950132571856515
metascope_toy.profile	6	0.98352441	0.014694008888492077	0.2600335439224283	0.10787190999999996	0.45161290322580644	1.0	0.6222222222222222	14.0	0.0	17.0	14.0	0.45161290322580644	1.9352003561481799	0.733292276159195	0.054384726615159314	0.9999494400000001	0.014960461761904801	7.08448987091022	0.09582943999999997	0.967741935483871	0.35714285714285715	0.5217391304347826	30.0	54.0	1.0	84.0	0.35294117647058826	2.0400658328119703	0.4604265816958488	0.047916602164133
metascope_toy.profile	5	0.98180279	0.015171018366865071	0.27395673719886493	0.08262789000000004	0.3870967741935484	1.0	0.5581395348837209	12.0	0.0	19.0	12.0	0.3870967741935484	1.7127629304446903	0.6892665084987456	0.04169354828821262	0.99998244	0.015421585352777763	7.449729685657558	0.07061210000000002	0.967741935483871	0.379746835443038	0.5454545454545455	30.0	49.0	1.0	79.0	0.375	1.824865632491202	0.41764215848482317	0.03530657183113168
metascope_toy.profile	4	0.98568967	0.011267525164087296	0.3371251951688251	0.06592324999999999	0.41379310344827586	1.0	0.5853658536585366	12.0	0.0	17.0	12.0	0.41379310344827586	1.7922731574743436	0.7212637777065997	0.03319918726232144	0.9999938	0.011507057731349198	7.793911140249712	0.05502799999999997	0.9655172413793104	0.345679012345679	0.5090909090909091	28.0	53.0	1.0	81.0	0.34146341463414637	1.8806068497987654	0.42795053113749026	0.027514099050756576
metascope_toy.profile	3	0.9819737399999999	0.015659160402976192	0.3774699184652497	0.09560612	0.42857142857142855	1.0	0.6	12.0	0.0	16.0	12.0	0.42857142857142855	1.6776304814886263	0.6751281709643915	0.04823846667117469	0.9999564599999999	0.01587698545416666	6.023245271608454	0.08303914000000001	0.9642857142857143	0.3176470588235294	0.47787610619469023	27.0	58.0	1.0	85.0	0.313953488372093	1.7899332852013412	0.402897545150862	0.041521013685645855
metascope_toy.profile	2	0.98525387	0.014351085629960328	0.36405659895234566	0.11238676999999997	0.4	1.0	0.5714285714285715	12.0	0.0	18.0	12.0	0.4	1.5320468775883038	0.6165410188423015	0.056611179182090465	0.9999765100000001	0.014520123550000003	5.8183807896207735	0.10236086999999998	0.9666666666666667	0.37662337662337664	0.5420560747663552	29.0	48.0	1.0	77.0	0.3717948717948718	1.6237890771988563	0.3738171763011239	0.05118139439523794
metascope_toy.profile	19	0.9831597599999999	0.025177534054563494	0.2827907104096214	0.23597230000000008	0.40625	1.0	0.5777777777777777	13.0	0.0	19.0	13.0	0.40625	2.0305906693963687	0.7916689128731926	0.11898846360176514	0.9999849199999999	0.02548766206051591	5.950166667996448	0.23065932000000003	0.96875	0.3333333333333333	0.496	31.0	62.0	1.0	93.0	0.32978723404255317	2.1462716365194288	0.47351892435267917	0.11533093325350317
metascope_toy.profile	18	0.9842975300000001	0.012960313917857139	0.3194919532511073	0.08273601000000004	0.3333333333333333	1.0	0.5	10.0	0.0	20.0	10.0	0.3333333333333333	1.5967279967927386	0.6934501581075195	0.04169542814795746	0.99999424	0.01315684442896824	6.468022366637427	0.07195064000000004	0.9666666666666667	0.3372093023255814	0.5	29.0	57.0	1.0	86.0	0.3333333333333333	1.6947535499710937	0.38047180366841366	0.03597547757259177
metascope_toy.profile	17	0.98625959	0.011835366178769844	0.26856842389927144	0.09547068999999997	0.3448275862068966	1.0	0.5128205128205129	10.0	0.0	19.0	10.0	0.3448275862068966	1.651654434947314	0.7173044071086517	0.048065516888941104	0.99998632	0.01205660396626985	7.996834009560496	0.08615372	0.9655172413793104	0.2978723404255319	0.4552845528455285	28.0	66.0	1.0	94.0	0.29473684210526313	1.743963435864874	0.3838543434757106	0.04307711157033156
