tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Sum of abundances (unfiltered)	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
metascope_toy.profile	0	0.44333954999999997	0.013247695463095233	0.31570548632104545	0.9000917300000004	0.005988023952095809	0.1	0.011299435028248588	1.0	9.0	166.0	10.0	0.005681818181818182	0.9817166981264722	0.4263541447886073	0.6236269558282584	0.46280256000000003	0.013497026808531747	7.076906767218601	0.9195547399999999	0.005988023952095809	0.004524886877828055	0.005154639175257733	1.0	220.0	166.0	221.0	0.002583979328165375	1.1174966840645177	0.2070142650110048	0.6286347830600101
metascope_toy.profile	7	0.35317678999999996	0.013138557441865099	0.33398949772028397	1.2379777900000006	0.013605442176870748	0.2857142857142857	0.025974025974025972	2.0	5.0	145.0	7.0	0.013157894736842105	0.9480944700955654	0.4872241765920382	0.9148548932449754	0.36935972	0.013355798729166696	6.511582009819263	1.25158672	0.034013605442176874	0.02976190476190476	0.031746031746031744	5.0	163.0	142.0	168.0	0.016129032258064516	1.0558838859895332	0.20606778077165608	0.9139814294762808
metascope_toy.profile	6	0.12775831	0.014694008888492077	0.2600335439224283	1.12779231	0.0	0.0	na	0.0	11.0	196.0	11.0	0.0	0.5109038679009599	0.21306346181863453	1.0	0.14704484	0.014960461761904801	7.08448987091022	1.1440868400000008	0.015306122448979591	0.013215859030837005	0.014184397163120567	3.0	224.0	193.0	227.0	0.007142857142857143	0.6515056382786505	0.12009431168568069	0.9973916352602232
metascope_toy.profile	5	0.20143423	0.015171018366865071	0.27395673719886493	1.1773092299999988	0.006535947712418301	0.125	0.012422360248447204	1.0	7.0	152.0	8.0	0.00625	0.6866466779819167	0.33020725238913073	0.9799402240317399	0.21785934	0.015421585352777763	7.449729685657558	1.1924963399999986	0.0196078431372549	0.013392857142857142	0.015915119363395226	3.0	221.0	150.0	224.0	0.008021390374331552	0.8119537479471054	0.1500382213039928	0.9791942145431701
metascope_toy.profile	4	0.17030107	0.011267525164087296	0.3371251951688251	1.1425060699999985	0.00684931506849315	0.09090909090909091	0.012738853503184712	1.0	10.0	145.0	11.0	0.00641025641025641	0.5854332033240595	0.24414460880138955	0.9762271787602258	0.18935095000000002	0.011507057731349198	7.793911140249712	1.1615559499999981	0.00684931506849315	0.00558659217877095	0.006153846153846154	1.0	178.0	145.0	179.0	0.0030864197530864196	0.7213728720381888	0.1390628919919464	0.976607940310311
metascope_toy.profile	3	0.24238187	0.015659160402976192	0.3774699184652497	1.2160288700000008	0.0055248618784530384	0.125	0.010582010582010583	1.0	7.0	180.0	8.0	0.005319148936170213	0.7804931047207437	0.3753378438762158	0.978754449755984	0.26164255000000003	0.01587698545416666	6.023245271608454	1.232551550000001	0.022099447513812154	0.02040816326530612	0.021220159151193633	4.0	192.0	177.0	196.0	0.010723860589812333	0.9135104012072156	0.17307513386615098	0.9769086679323544
metascope_toy.profile	2	0.4075391	0.014351085629960328	0.36405659895234566	1.3313320999999996	0.011111111111111112	0.2	0.021052631578947368	2.0	8.0	178.0	10.0	0.010638297872340425	1.0944255719157683	0.47530298673682864	0.9458250606125471	0.42715995999999995	0.014520123550000003	5.8183807896207735	1.3428249600000004	0.022222222222222223	0.02	0.021052631578947368	4.0	196.0	176.0	200.0	0.010638297872340425	1.2193267403692596	0.2301347118365762	0.940874810651413
metascope_toy.profile	19	0.29683672	0.025177534054563494	0.2827907104096214	1.2968897199999998	0.0	0.0	na	0.0	12.0	242.0	12.0	0.0	0.934265641515868	0.37597615250278105	1.0	0.31527941	0.02548766206051591	5.950166667996448	1.3142868499999991	0.012396694214876033	0.012396694214876033	0.012396694214876033	3.0	239.0	239.0	242.0	0.006237006237006237	1.0707945888318535	0.1950822986621158	0.99920509827626
metascope_toy.profile	18	0.32587118	0.012960313917857139	0.3194919532511073	1.3258571799999992	0.0	0.0	na	0.0	12.0	175.0	12.0	0.0	0.9426888564940665	0.37936590357408073	1.0	0.3426925	0.01315684442896824	6.468022366637427	1.3420505	0.011428571428571429	0.00881057268722467	0.009950248756218905	2.0	225.0	173.0	227.0	0.005	1.064759725099835	0.19627088206688442	0.9995322782036057
metascope_toy.profile	17	0.2783326	0.011835366178769844	0.26856842389927144	1.2783666000000007	0.0	0.0	na	0.0	12.0	165.0	12.0	0.0	0.8364752885789758	0.33662241945802657	1.0	0.29603176000000003	0.01205660396626985	7.996834009560496	1.2955677599999984	0.012121212121212121	0.008298755186721992	0.009852216748768473	2.0	239.0	163.0	241.0	0.0049504950495049506	0.9648510815547203	0.1759137290322007	0.9996157602373511
