tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
MetaScope	0	1.0	0.14336038192361114	4.550025079607867	0.503418	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3363784944627157
MetaScope	9	1.0	0.14444680169464288	4.494302288610269	0.507643	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.34016190495973814
MetaScope	8	1.0	0.14389084048769846	4.0911987688943325	0.505496	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3382366323542794
MetaScope	7	1.0	0.14222390048273814	3.8580036418901282	0.48936300000000005	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.32394479944553195
MetaScope	6	1.0	0.14268096972658728	4.408436025895456	0.492468	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.32667167264111147
MetaScope	5	1.0	0.14172201821150804	4.482665390987875	0.492792	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3269568632862883
MetaScope	3	1.0	0.14377860086170635	3.8961139757097416	0.498189	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3317254967502568
MetaScope	2	1.0	0.14018999050595238	3.86130844708762	0.48227800000000004	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.31776438636324705
MetaScope	19	0.9999999900000001	0.1607490310605159	4.07586633589284	0.63520399	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.99999988922529e-09	0.0	0.4654204691794266
MetaScope	18	1.0	0.14047783656785717	4.188978469191773	0.502819	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.33584382916961947
MetaScope	4	1.0	0.13877553523690475	4.520248607837827	0.485935	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3209472512738885
MetaScope	16	1.0	0.15739941847817468	4.086091189840973	0.61095	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.4398329793743926
MetaScope	15	1.0	0.138905754021627	4.738689883641639	0.486581	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.32151109507677644
MetaScope	14	1.0	0.1548928564156746	3.842706800212146	0.603384	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.43203285656186097
MetaScope	13	1.0	0.14346468138095245	3.9699735235451583	0.502589	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3356386456357005
MetaScope	12	1.0	0.14601280520337304	4.5195640672646284	0.523303	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3543739846427534
MetaScope	11	1.0	0.14131198652599214	4.387073915449702	0.494739	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3286732334126773
MetaScope	10	1.0	0.14300106937738094	4.029855022290004	0.49764	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.33123885087462396
MetaScope	1	1.0	0.1437161629486111	4.270444037527494	0.503973	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.33687426764356526
MetaScope	17	1.0	0.143551631306746	4.768959488889545	0.5061869999999999	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.33885566667313777
mOTUs-precision	2	na	0.13674749609483478	0.8289283967484796	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
mOTUs-precision	3	na	0.13922130771492328	0.8235742727080103	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
mOTUs-precision	4	na	0.13969264129862574	0.8251164029389767	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
mOTUs-precision	5	na	0.13852843922878338	0.8074528172095671	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
mOTUs-precision	9	na	0.1413239387083332	0.815231377138644	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
mOTUs-precision	7	na	0.1407941216645025	0.8521127074803792	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
mOTUs-precision	8	na	0.14341405038852947	0.8472100229347455	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
