tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
MetaScope	0	0.99999998	0.14336038192361114	4.550025079607867	0.50341798	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10763643889533335	0.09797490889695507	0.3363784855942206
MetaScope	9	0.9999999899999998	0.14444680169464288	4.494302288610269	0.5076429899999999	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10248647511738776	0.09328720985056164	0.3401619005382887
MetaScope	8	0.9999999799999999	0.14389084048769846	4.0911987688943325	0.50549698	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.08516944476128102	0.07752456953174558	0.3382375189375668
MetaScope	7	0.9999999900000001	0.14222390048273814	3.8580036418901282	0.48936199	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10240618074687657	0.09321412276484504	0.32394391855589444
MetaScope	6	0.99999998	0.14268096972658728	4.408436025895456	0.49246797999999997	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.11095202996534378	0.1009928899483322	0.3266716637082551
MetaScope	5	0.9999999900000001	0.14172201821150804	4.482665390987875	0.49279199000000007	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10955893244389871	0.09972483793779628	0.32695685882079223
MetaScope	3	0.9999999900000001	0.14377860086170635	3.8961139757097416	0.49818899	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.11055883794519106	0.10063499114799254	0.33172549230046583
MetaScope	2	0.9999999900000001	0.14018999050595238	3.86130844708762	0.48227799000000005	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10069439564344818	0.09165598881614904	0.31776438186811806
MetaScope	19	0.9999999799999999	0.1607490310605159	4.07586633589284	0.6352039799999999	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.09538827893785466	0.08682615324965787	0.4654204652625075
MetaScope	18	0.9999999799999999	0.14047783656785717	4.188978469191773	0.5028189799999999	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10385212090814744	0.09453027421898892	0.33584382029753
MetaScope	4	0.9999999900000001	0.13877553523690475	4.520248607837827	0.48593499	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.09853261344558173	0.08968824986022743	0.32094724678892417
MetaScope	16	0.9999999899999998	0.15739941847817468	4.086091189840973	0.6109499899999999	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.048972398223223704	0.04457659788476864	0.4398329753416577
MetaScope	15	0.9999999900000001	0.138905754021627	4.738689883641639	0.48658098999999994	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.11339892877346434	0.10322015322707	0.32151109059362337
MetaScope	14	0.9999999799999999	0.1548928564156746	3.842706800212146	0.6033839799999999	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.047454681516597104	0.04319511260349022	0.43203284842838474
MetaScope	13	0.99999998	0.14346468138095245	3.9699735235451583	0.5025889800000001	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.09988307315212414	0.09091749125910129	0.3356386367622335
