tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
MetaScope	0	0.9996271400000001	0.14336038192361114	4.550025079607867	0.7797157200000003	0.6	0.2571428571428571	0.36	45.0	130.0	30.0	175.0	0.21951219512195122	2.200705145701044	0.4260980332606584	0.44056610693655635
MetaScope	9	0.99974385	0.14444680169464288	4.494302288610269	0.8123191100000006	0.6	0.25862068965517243	0.3614457831325301	45.0	129.0	30.0	174.0	0.22058823529411764	2.0227142789084	0.3920706721667357	0.4563026920523328
MetaScope	8	0.99804349	0.14389084048769846	4.0911987688943325	0.8313523900000004	0.5945945945945946	0.2732919254658385	0.374468085106383	44.0	117.0	30.0	161.0	0.23036649214659685	1.9067106962793585	0.3752330181432409	0.4591961699012439
MetaScope	7	0.98340422	0.14222390048273814	3.8580036418901282	0.8078844799999998	0.5945945945945946	0.30344827586206896	0.40182648401826476	44.0	101.0	30.0	145.0	0.25142857142857145	1.2908489987356326	0.25937674497888485	0.44859786513955147
MetaScope	6	0.9969528400000001	0.14268096972658728	4.408436025895456	0.7844947400000001	0.6296296296296297	0.3128834355828221	0.4180327868852459	51.0	112.0	30.0	163.0	0.26424870466321243	2.3326852330854395	0.45795045715354915	0.4494850579851645
MetaScope	5	0.99977168	0.14172201821150804	4.482665390987875	0.7684699000000004	0.6052631578947368	0.2948717948717949	0.39655172413793105	46.0	110.0	30.0	156.0	0.24731182795698925	1.9841011850671504	0.39290252676884035	0.4310742542117688
MetaScope	3	0.99963459	0.14377860086170635	3.8961139757097416	0.7731922899999997	0.6103896103896104	0.29936305732484075	0.40170940170940167	47.0	110.0	30.0	157.0	0.25133689839572193	1.9661671589708658	0.38885909322112616	0.4352218281976898
MetaScope	2	0.97510093	0.14018999050595238	3.86130844708762	0.8102445699999996	0.5945945945945946	0.2953020134228188	0.3946188340807175	44.0	105.0	30.0	149.0	0.24581005586592178	1.7772561927432455	0.35517091592921196	0.44613136487054555
MetaScope	19	0.99841133	0.1607490310605159	4.07586633589284	0.905105449999999	0.6385542168674698	0.29120879120879123	0.39999999999999997	53.0	129.0	30.0	182.0	0.25	2.3354125330994053	0.4487720084793469	0.560114154178912
MetaScope	18	0.99963732	0.14047783656785717	4.188978469191773	0.7458454	0.6075949367088608	0.28402366863905326	0.3870967741935484	48.0	121.0	31.0	169.0	0.24	1.9219491060514473	0.37465634564293115	0.42912515257238026
MetaScope	4	0.99112767	0.13877553523690475	4.520248607837827	0.8064008300000005	0.5774647887323944	0.2662337662337662	0.3644444444444444	41.0	113.0	30.0	154.0	0.22282608695652173	2.264427733478527	0.44956304182680784	0.4403449010993414
MetaScope	16	0.9979922999999999	0.15739941847817468	4.086091189840973	0.9060345999999996	0.6153846153846154	0.28402366863905326	0.38866396761133604	48.0	121.0	30.0	169.0	0.24120603015075376	1.4772171840245096	0.28796225152111243	0.541529708016061
MetaScope	15	0.9997048700000001	0.138905754021627	4.738689883641639	0.7826967299999993	0.6	0.2556818181818182	0.35856573705179284	45.0	131.0	30.0	176.0	0.21844660194174756	2.040458371458852	0.39463585486716046	0.4385411189373811
MetaScope	14	0.9994822800000001	0.1548928564156746	3.842706800212146	0.84696118	0.620253164556962	0.30246913580246915	0.4066390041493776	49.0	113.0	30.0	162.0	0.2552083333333333	1.4912470037643317	0.2931142538642891	0.5189302038622823
MetaScope	13	0.99004536	0.14346468138095245	3.9699735235451583	0.7887147400000003	0.6133333333333333	0.3087248322147651	0.4107142857142857	46.0	103.0	29.0	149.0	0.25842696629213485	1.784504692882025	0.3566194726673543	0.45041633064534553
MetaScope	12	0.99946258	0.14601280520337304	4.5195640672646284	0.8165716400000003	0.5945945945945946	0.26506024096385544	0.3666666666666667	44.0	122.0	30.0	166.0	0.22448979591836735	2.1347799090879467	0.4176027012330283	0.4674418533029051
MetaScope	11	0.9888611399999999	0.14131198652599214	4.387073915449702	0.7833809599999991	0.5753424657534246	0.28187919463087246	0.3783783783783784	42.0	107.0	31.0	149.0	0.23333333333333334	1.7558436415711138	0.3508917830482915	0.4400596001458602
MetaScope	10	0.99947391	0.14300106937738094	4.029855022290004	0.8058622299999993	0.6153846153846154	0.2926829268292683	0.396694214876033	48.0	116.0	30.0	164.0	0.24742268041237114	2.0346485446523843	0.39896114407067806	0.4481038078814928
