tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
MetaScope	0	0.9999461599999999	0.14336038192361114	4.550025079607867	0.9853691600000001	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.7526775209971763	0.42007732283477367	0.4980351811256085
MetaScope	9	0.99994838	0.14444680169464288	4.494302288610269	0.9722023799999999	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.7609502489172906	0.4246944201975566	0.496808308266174
MetaScope	8	0.9999477800000001	0.14389084048769846	4.0911987688943325	0.9719527800000001	0.45454545454545453	0.8333333333333334	0.5882352941176471	5.0	1.0	6.0	6.0	0.4166666666666667	0.6880482063361616	0.384007015535737	0.49565636551247605
MetaScope	7	0.9999498899999999	0.14222390048273814	3.8580036418901282	0.9759468900000003	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.5051942671231829	0.2819542889542178	0.4886568584927295
MetaScope	6	0.9999425500000001	0.14268096972658728	4.408436025895456	0.96922655	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.6435370051847152	0.3591648411725547	0.4884553303029473
MetaScope	5	0.9999421000000001	0.14172201821150804	4.482665390987875	0.9566871000000002	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.43280273032518746	0.24155180299488088	0.4853611194779155
MetaScope	3	0.99994215	0.14377860086170635	3.8961139757097416	0.9663251500000001	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.6151443622371179	0.34331860542762527	0.49053852067575193
MetaScope	2	0.9999499000000001	0.14018999050595238	3.86130844708762	0.9515599000000001	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.7427567673778379	0.41454044481642416	0.47889663323391796
MetaScope	19	0.99995177	0.1607490310605159	4.07586633589284	0.97829677	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.7453545748245145	0.4159903087581483	0.5728152831720794
MetaScope	18	0.9999482999999999	0.14047783656785717	4.188978469191773	0.9371823	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.6510989907326716	0.3633852656646961	0.48520347375386363
MetaScope	4	0.9999495499999999	0.13877553523690475	4.520248607837827	0.9534405499999999	0.45454545454545453	0.8333333333333334	0.5882352941176471	5.0	1.0	6.0	6.0	0.4166666666666667	0.6939179581943539	0.38728298642301306	0.4811588329149616
MetaScope	16	0.9999686400000001	0.15739941847817468	4.086091189840973	0.9856756399999999	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.35009235516697035	0.1953902636930396	0.5588491865025327
MetaScope	15	0.99994121	0.138905754021627	4.738689883641639	0.93403921	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.7254144675152222	0.4048615229742601	0.4763427739266889
MetaScope	14	0.9999670399999999	0.1548928564156746	3.842706800212146	0.9699320400000001	0.3333333333333333	0.5	0.4	3.0	3.0	6.0	6.0	0.25	0.33905401782506145	0.1892296503230628	0.5501131599668059
MetaScope	13	0.99994873	0.14346468138095245	3.9699735235451583	0.9715577300000001	0.36363636363636365	0.6666666666666666	0.4705882352941177	4.0	2.0	7.0	6.0	0.3076923076923077	0.8166981360393031	0.45580790840813123	0.4940900199273508
MetaScope	12	0.9999471	0.14601280520337304	4.5195640672646284	0.9585741	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.717135831905278	0.4002411284670046	0.5013598957000976
MetaScope	11	0.9999487600000001	0.14131198652599214	4.387073915449702	0.96635876	0.36363636363636365	0.6666666666666666	0.4705882352941177	4.0	2.0	7.0	6.0	0.3076923076923077	0.7980285013630004	0.44538818690145704	0.48883501537053115
MetaScope	10	0.9999445999999999	0.14300106937738094	4.029855022290004	0.9737596000000001	0.45454545454545453	0.8333333333333334	0.5882352941176471	5.0	1.0	6.0	6.0	0.4166666666666667	0.7195619799283927	0.4015951874602912	0.4921806844072024
MetaScope	1	0.99994607	0.1437161629486111	4.270444037527494	0.96570607	0.4	0.6666666666666666	0.5	4.0	2.0	6.0	6.0	0.3333333333333333	0.7174552101768626	0.4004193768742656	0.49327543438855553
MetaScope	17	0.99994951	0.143551631306746	4.768959488889545	0.97563251	0.3333333333333333	0.5	0.4	3.0	3.0	6.0	6.0	0.25	0.4871764090103819	0.27189833087377097	0.49695108308677494
mOTUs-precision	2	na	0.13674749609483478	0.8289283967484796	na	0.0	0.0	na	0.0	0.0	10.0	na	0.0	na	na	na
mOTUs-precision	3	na	0.13922130771492328	0.8235742727080103	na	0.0	0.0	na	0.0	0.0	10.0	na	0.0	na	na	na
mOTUs-precision	4	na	0.13969264129862574	0.8251164029389767	na	0.0	0.0	na	0.0	0.0	11.0	na	0.0	na	na	na
mOTUs-precision	5	na	0.13852843922878338	0.8074528172095671	na	0.0	0.0	na	0.0	0.0	10.0	na	0.0	na	na	na
mOTUs-precision	9	na	0.1413239387083332	0.815231377138644	na	0.0	0.0	na	0.0	0.0	10.0	na	0.0	na	na	na
