tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
MetaScope	0	0.99999984	0.14336038192361114	4.550025079607867	0.9854485999999999	0.5	0.4090909090909091	0.45	9.0	13.0	9.0	22.0	0.2903225806451613	0.9108760274053269	0.29468247076829696	0.4980618193318148
MetaScope	9	0.99999949	0.14444680169464288	4.494302288610269	0.9727815500000001	0.5263157894736842	0.47619047619047616	0.5	10.0	11.0	9.0	21.0	0.3333333333333333	0.9893585661587436	0.32496346681502797	0.49709179686962046
MetaScope	8	0.9999998600000001	0.14389084048769846	4.0911987688943325	0.97200586	0.55	0.4782608695652174	0.5116279069767442	11.0	12.0	9.0	23.0	0.34375	0.8665425359078731	0.27636553481923365	0.4956710281000638
MetaScope	7	0.9999999100000001	0.14222390048273814	3.8580036418901282	0.9763607900000004	0.5263157894736842	0.5	0.5128205128205129	10.0	10.0	9.0	20.0	0.3448275862068966	0.5981962520800209	0.19968281456952428	0.4888518550212054
MetaScope	6	0.99999987	0.14268096972658728	4.408436025895456	0.9692828700000001	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	0.9403944518088266	0.30423213721543	0.4884693568655855
MetaScope	5	0.99999989	0.14172201821150804	4.482665390987875	0.95674489	0.5263157894736842	0.5	0.5128205128205129	10.0	10.0	9.0	20.0	0.3448275862068966	0.604193509261094	0.20168474819824547	0.4853762076844746
MetaScope	3	0.99999986	0.14377860086170635	3.8961139757097416	0.9663818600000001	0.5263157894736842	0.47619047619047616	0.5	10.0	11.0	9.0	21.0	0.3333333333333333	0.9428397142702997	0.3096839433955097	0.490552688535541
MetaScope	2	0.99999987	0.14018999050595238	3.86130844708762	0.9529194099999999	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	1.0020794861026754	0.3241881990374959	0.4795687805764479
MetaScope	19	0.9999998800000001	0.1607490310605159	4.07586633589284	0.9783448800000001	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	1.092508368569049	0.3534433399263328	0.572827316418409
MetaScope	18	0.99999989	0.14047783656785717	4.188978469191773	0.9372417099999996	0.55	0.55	0.55	11.0	9.0	9.0	20.0	0.3793103448275862	0.8638686649528348	0.2883664446849862	0.4852212718393373
MetaScope	4	0.99999989	0.13877553523690475	4.520248607837827	0.9534918900000003	0.55	0.5	0.5238095238095238	11.0	11.0	9.0	22.0	0.3548387096774194	0.9658422399146797	0.3124648899161265	0.48117276086445504
MetaScope	16	0.9999998099999999	0.15739941847817468	4.086091189840973	0.9865521499999999	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	0.47620911519054465	0.15406100769439743	0.5593368913594592
MetaScope	15	0.99999989	0.138905754021627	4.738689883641639	0.9351479500000004	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	0.8987184746009544	0.29074931456361147	0.47689320989019607
MetaScope	14	0.99999983	0.1548928564156746	3.842706800212146	0.9736038299999996	0.5263157894736842	0.45454545454545453	0.4878048780487805	10.0	12.0	9.0	22.0	0.3225806451612903	0.5259476084482457	0.1701521788795948	0.5521860341460267
MetaScope	13	0.99999987	0.14346468138095245	3.9699735235451583	0.9725007499999998	0.5	0.47619047619047616	0.4878048780487805	10.0	11.0	10.0	21.0	0.3225806451612903	0.9770865312522803	0.3209326097077176	0.49455673478527395
MetaScope	12	0.99999976	0.14601280520337304	4.5195640672646284	0.9592698199999998	0.5263157894736842	0.4166666666666667	0.46511627906976744	10.0	14.0	9.0	24.0	0.30303030303030304	1.0451810579399858	0.3288745608898498	0.5017096950789417
MetaScope	11	0.99999986	0.14131198652599214	4.387073915449702	0.9668305199999999	0.5	0.45454545454545453	0.47619047619047616	10.0	12.0	10.0	22.0	0.3125	0.9375291555676809	0.30330516960357057	0.4890612619731372
MetaScope	10	0.99999987	0.14300106937738094	4.029855022290004	0.9738654500000001	0.55	0.5238095238095238	0.5365853658536585	11.0	10.0	9.0	21.0	0.36666666666666664	0.9963488343439719	0.32725948148669365	0.49221968867028726
MetaScope	1	0.9999998800000001	0.1437161629486111	4.270444037527494	0.9669653800000003	0.5263157894736842	0.4166666666666667	0.46511627906976744	10.0	14.0	9.0	24.0	0.30303030303030304	0.8957127170213995	0.28184315459607345	0.4939053574396926
MetaScope	17	0.9999998800000001	0.143551631306746	4.768959488889545	0.98007694	0.5	0.391304347826087	0.4390243902439025	9.0	14.0	9.0	23.0	0.28125	0.6467309359558522	0.2062612434972088	0.499201594825923
mOTUs-precision	2	1.0	0.13674749609483478	0.8289283967484796	0.9765220000000001	0.3157894736842105	1.0	0.4799999999999999	6.0	0.0	13.0	6.0	0.3157894736842105	0.8953364602784342	0.4996967928201728	0.49144705123314464
mOTUs-precision	3	0.9999999999999997	0.13922130771492328	0.8235742727080103	0.9878399999999998	0.2631578947368421	1.0	0.4166666666666667	5.0	0.0	14.0	5.0	0.2631578947368421	0.7004613678261985	0.4352211181398272	0.5014451879353458
mOTUs-precision	4	0.9999999999999999	0.13969264129862574	0.8251164029389767	0.989286	0.3	1.0	0.4615384615384615	6.0	0.0	14.0	6.0	0.3	0.9219023342096032	0.514523489364779	0.49923597093257976
mOTUs-precision	5	1.0	0.13852843922878338	0.8074528172095671	0.977701	0.3157894736842105	1.0	0.4799999999999999	6.0	0.0	13.0	6.0	0.3157894736842105	0.4057516573744757	0.22645431172147565	0.4960076422741954
mOTUs-precision	9	1.0	0.1413239387083332	0.815231377138644	0.9999300000000001	0.2631578947368421	1.0	0.4166666666666667	5.0	0.0	14.0	5.0	0.2631578947368421	0.8451461012803021	0.5251187975323076	0.5109645335129328
mOTUs-precision	7	0.9999999999999999	0.1407941216645025	0.8521127074803792	0.9978790000000001	0.2631578947368421	1.0	0.4166666666666667	5.0	0.0	14.0	5.0	0.2631578947368421	0.5003445883731429	0.3108815720740827	0.4996257359483251
mOTUs-precision	8	0.9999999999999999	0.14341405038852947	0.8472100229347455	0.9931	0.25	1.0	0.4	5.0	0.0	15.0	5.0	0.25	0.802549230287494	0.49865187348154694	0.5064278757158374
mOTUs-precision	19	1.0000000000000002	0.12087292816211515	0.7770833330913117	0.995111	0.2631578947368421	1.0	0.4166666666666667	5.0	0.0	14.0	5.0	0.2631578947368421	0.9113395883418641	0.5662471234839758	0.5826439482342005
mOTUs-precision	6	0.9999999999999999	0.10083722324571893	0.7366854768401704	0.9958309999999997	0.2631578947368421	1.0	0.4166666666666667	5.0	0.0	14.0	5.0	0.2631578947368421	0.7670901255976991	0.4766198929895708	0.5018482336832589
mOTUs-precision	18	1.0	0.12309156360920723	0.8083184429431306	0.9579100000000002	0.25	1.0	0.4	5.0	0.0	15.0	5.0	0.25	0.7159939137188205	0.4448720315255637	0.49592146516626834
mOTUs-precision	17	1.0	0.1327563043828021	0.7933834661321011	0.995641	0.2777777777777778	1.0	0.4347826086956522	5.0	0.0	13.0	5.0	0.2777777777777778	0.5303670199136524	0.3295355576106256	0.5071291083482871
mOTUs-precision	16	1.0	0.14682563421278977	0.8317671686480492	1.0032290000000001	0.2631578947368421	1.0	0.4166666666666667	5.0	0.0	14.0	5.0	0.2631578947368421	0.6099949557947884	0.37901117594044814	0.5687919586753292
mOTUs-precision	1	1.0	0.13016468048025512	0.8446641113434926	0.9938150000000001	0.2631578947368421	1.0	0.4166666666666667	5.0	0.0	14.0	5.0	0.2631578947368421	0.7763496573527747	0.4823731635466634	0.5076195413717984
