rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
acellular root	0	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	9	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	8	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	7	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	6	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	5	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	3	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	2	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	19	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	18	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	4	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	16	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	15	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	14	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	13	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	12	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	11	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	10	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	1	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
acellular root	17	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	2	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	3	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	4	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	5	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	9	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	7	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	8	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	19	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	6	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	18	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	17	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	16	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	1	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	10	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	11	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	0	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	13	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	14	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	15	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
cellular root	12	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	18	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	7	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	6	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	5	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	4	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	3	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	2	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	19	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	17	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	13	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
other entries	15	0.12809755993221805	0.8213356175002814	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
