taxid	rank	pct	classification	pct_gs	sample	tool
100886	species	0.6101	TP	0.6101	0	Gold standard
100886.1	strain	0.6101	TP	0.6101	0	Gold standard
102106	genus	0.5344	TP	0.5344	0	Gold standard
10239	acellular root	48.2066	TP	48.2066	0	Gold standard
103621	species	0.0054	TP	0.0054	0	Gold standard
103621.1	strain	0.0054	TP	0.0054	0	Gold standard
1041524.1	strain	0.0216	TP	0.0216	0	Gold standard
10663	genus	0.2559	TP	0.2559	0	Gold standard
10677	species	0.5933	TP	0.5933	0	Gold standard
10752	species	0.4651	TP	0.4651	0	Gold standard
10780	family	0.5349	TP	0.5349	0	Gold standard
10841	family	0.4179	TP	0.4179	0	Gold standard
10843.1	strain	0.0002	TP	0.0002	0	Gold standard
10860	family	0.7221	TP	0.7221	0	Gold standard
10868.1	strain	0.1522	TP	0.1522	0	Gold standard
110456	genus	0.0318	TP	0.0318	0	Gold standard
1131492	family	0.717	TP	0.717	0	Gold standard
1141139.1	strain	0.4551	TP	0.4551	0	Gold standard
1147145.1	strain	0.0111	TP	0.0111	0	Gold standard
1147150.1	strain	0.0138	TP	0.0138	0	Gold standard
1150298	species	0.0928	TP	0.0928	0	Gold standard
1150298.2	strain	0.0928	TP	0.0928	0	Gold standard
1164882	genus	0.0005	TP	0.0005	0	Gold standard
1196081	species	0.0667	TP	0.0667	0	Gold standard
1196081.1	strain	0.0667	TP	0.0667	0	Gold standard
1198980	genus	0.4869	TP	0.4869	0	Gold standard
1204534.1	strain	0.0522	TP	0.0522	0	Gold standard
12058	family	0.842	TP	0.842	0	Gold standard
1208309	species	0.2874	TP	0.2874	0	Gold standard
1208309.1	strain	0.2874	TP	0.2874	0	Gold standard
1211280.1	strain	1.8752	TP	1.8752	0	Gold standard
1224	phylum	0.7819	TP	0.7819	0	Gold standard
1236	class	0.6252	TP	0.6252	0	Gold standard
1237159.1	strain	0.0144	TP	0.0144	0	Gold standard
1239	phylum	29.2265	TP	29.2265	0	Gold standard
1247113	species	0.8579	TP	0.8579	0	Gold standard
1247113.1	strain	0.8579	TP	0.8579	0	Gold standard
1263	genus	2.7667	TP	2.7667	0	Gold standard
128827	family	0.0347	TP	0.0347	0	Gold standard
129132	species	0.0013	TP	0.0013	0	Gold standard
129132.1	strain	0.0013	TP	0.0013	0	Gold standard
1297617	species	0.0023	TP	0.0023	0	Gold standard
1297617.3	strain	0.0023	TP	0.0023	0	Gold standard
1300	family	0.6684	TP	0.6684	0	Gold standard
1301	genus	0.6641	TP	0.6641	0	Gold standard
1304	species	0.6161	TP	0.6161	0	Gold standard
1304.2	strain	0.6152	TP	0.6152	0	Gold standard
1304.26	strain	0.0002	TP	0.0002	0	Gold standard
1304.7	strain	0.0007	TP	0.0007	0	Gold standard
1309	species	0.0117	TP	0.0117	0	Gold standard
1309.2	strain	0.0117	TP	0.0117	0	Gold standard
131567	cellular root	49.6582	TP	49.6582	0	Gold standard
1318	species	0.0058	TP	0.0058	0	Gold standard
1318.3	strain	0.0058	TP	0.0058	0	Gold standard
1328	species	0.0295	TP	0.0295	0	Gold standard
1328.4	strain	0.0288	TP	0.0288	0	Gold standard
1328.5	strain	0.0007	TP	0.0007	0	Gold standard
1346893.1	strain	0.0674	TP	0.0674	0	Gold standard
1350	genus	0.293	TP	0.293	0	Gold standard
1351	species	0.0422	TP	0.0422	0	Gold standard
1351.102	strain	0.0019	TP	0.0019	0	Gold standard
1351.14	strain	0.0002	TP	0.0002	0	Gold standard
1351.21	strain	0.0201	TP	0.0201	0	Gold standard
1351.24	strain	0.0017	TP	0.0017	0	Gold standard
1351.43	strain	0.0017	TP	0.0017	0	Gold standard
1351.67	strain	0.0009	TP	0.0009	0	Gold standard
1351.69	strain	0.0075	TP	0.0075	0	Gold standard
1351.71	strain	0.0002	TP	0.0002	0	Gold standard
1351.77	strain	0.0012	TP	0.0012	0	Gold standard
1351.80	strain	0.0017	TP	0.0017	0	Gold standard
1351.97	strain	0.0052	TP	0.0052	0	Gold standard
1354	species	0.2502	TP	0.2502	0	Gold standard
1354.1	strain	0.2113	TP	0.2113	0	Gold standard
1354.6	strain	0.0372	TP	0.0372	0	Gold standard
1354.9	strain	0.0017	TP	0.0017	0	Gold standard
135621	family	0.0005	TP	0.0005	0	Gold standard
135623	order	0.0028	TP	0.0028	0	Gold standard
135624	order	0.0007	TP	0.0007	0	Gold standard
1357	genus	0.0042	TP	0.0042	0	Gold standard
135858	genus	0.6101	TP	0.6101	0	Gold standard
1378	genus	0.0014	TP	0.0014	0	Gold standard
1385	order	0.0014	TP	0.0014	0	Gold standard
1391223.1	strain	0.1678	TP	0.1678	0	Gold standard
