"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
371601,"Bacteroides xylanisolvens",3424560,0.213013136046422,3313402.2,0.206098945140726
33039,"[Ruminococcus] torques",1639248,0.101963860244185,1624264.3,0.101031847747787
330879,"Aspergillus fumigatus",1160420,0.0721799890587373,1160406,0.0721791198736805
338188,"Bacteroides finegoldii",1047095,0.0651309919197002,1088511.8,0.0677071824969296
818,"Bacteroides thetaiotaomicron",906854,0.0564077763205323,927084.4,0.0576661366532286
1955243,"Blautia sp.",880813,0.0547879842667255,832545.4,0.0517856607350239
853,"Faecalibacterium prausnitzii",746242,0.0464174517805366,742242.3,0.0461686611773691
40520,"Blautia obeum",631029,0.0392510180070543,648287.9,0.0403245464453439
2787083,"Bacteroides sp. 1001136B_160425_E2",493091,0.030671052709331,513801.7,0.0319592913231532
292800,"Flavonifractor plautii",462854,0.0287902627115982,462806.4,0.028787300112329
1034346,"Dielma fastidiosa",454240,0.028254458066942,455738,0.0283476385773433
594,"Salmonella enterica",321748,0.0200132427221787,321528.4,0.0199995828742479
817,"Bacteroides fragilis",287071,0.0178562775883566,277931.5,0.0172877833608828
1108849,"Penicillium rubens",285883,0.0177823820789705,285434.1,0.0177544581147653
328812,"Parabacteroides goldsteinii",263523,0.0163915541413675,266221.4,0.0165593981378578
2025659,"Bacteroides sp. KFT8",242447,0.0150805930674443,231907.1,0.0144249946694671
29523,"Bacteroides sp.",196871,0.0122456926164515,228563.8,0.0142170327143072
487174,"Barnesiella intestinihominis",181988,0.0113199460960872,177475.6,0.0110392660036746
1311,"Streptococcus agalactiae",178025,0.0110734411266453,178139.3,0.0110805477867506
2292286,"Blautia sp. OF01-4LB",154543,0.00961282298573313,197239.6,0.0122686199467385
649756,"Anaerostipes hadrus",149922,0.00932538935873564,148933.9,0.00926392696147185
39491,"Agathobacter rectalis",124756,0.00776002371125268,125446.5,0.00780297427248483
89153,"[Clostridium] hylemonae",123187,0.007662429389513,123270.5,0.00766762486516812
