"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
762982,"Paraprevotella xylaniphila",3815544,0.266404438258629,3814251.7,0.266314358278994,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila",0,0,0,0,0,NA,NA
330879,"Aspergillus fumigatus",1084651,0.0757312300321162,1084649.5,0.0757311674499382,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus fumigatus",0,0,0,0,0,NA,NA
536633,"Blautia glucerasea",798971,0.0557848161205677,792307.6,0.0553196012533572,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia glucerasea",0,0,0,0,0,NA,NA
818,"Bacteroides thetaiotaomicron",708572,0.0494730831634476,707147.2,0.0493736265393905,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron",0,0,0,0,0,NA,NA
1912855,"Faecalimonas umbilicata",673979,0.0470577712884749,673876.9,0.0470506681072963,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Faecalimonas","Faecalimonas umbilicata",0,0,0,0,0,NA,NA
411485,"Faecalibacterium prausnitzii",626226,0.043723617327686,597888.8,0.0417451118485771,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii",0,0,0,0,0,NA,NA
3133157,"Faecalibacterium faecis",613545,0.0428382194180937,631880.7,0.0441184598096877,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium faecis",0,0,0,0,0,NA,NA
411459,"Blautia obeum",415771,0.0290294751414814,418844.7,0.029244097628222,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum",0,0,0,0,0,NA,NA
28116,"Bacteroides ovatus",392775,0.0274238753994275,373050.9,0.0260467392499031,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus",0,0,0,0,0,NA,NA
626940,"Phascolarctobacterium succinatutens",379748,0.0265143194836275,379817.1,0.0265191597855974,"Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium succinatutens",0,0,0,0,0,NA,NA
1280689,"Clostridium paraputrificum",356571,0.0248960821718522,356437.3,0.0248867613299386,"Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium paraputrificum",0,0,0,0,0,NA,NA
1496,"Clostridioides difficile",317382,0.0221598737751158,317530.2,0.022170235281744,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Clostridioides","Clostridioides difficile",0,0,0,0,0,NA,NA
2107999,"Lactobacillus paragasseri",306559,0.0214042029624418,306374.5,0.0213913350332252,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus paragasseri",0,0,0,0,0,NA,NA
1108849,"Penicillium rubens",301300,0.0210370152322513,301163.3,0.021027482558668,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium rubens",0,0,0,0,0,NA,NA
5068,"Aspergillus tubingensis",228669,0.0159658587326375,228655.2,0.015964906938135,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus tubingensis",0,0,0,0,0,NA,NA
89153,"[Clostridium] hylemonae",198565,0.0138639725509193,198557,0.0138634196741475,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","[Clostridium] hylemonae",0,0,0,0,0,NA,NA
5480,"Candida parapsilosis",192941,0.0134713002188045,192941,0.0134713075993276,"Eukaryota","Ascomycota","Pichiomycetes","Serinales","Debaryomycetaceae","Candida","Candida parapsilosis",0,0,0,0,0,NA,NA
1196081,"Talaromyces amestolkiae",175858,0.0122785510279232,175858,0.0122785606301451,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces amestolkiae",0,0,0,0,0,NA,NA
99287,"Salmonella enterica",155827,0.0108799700384866,155775.7,0.0108763913194529,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica",0,0,0,0,0,NA,NA
3133156,"Faecalibacterium tardum",149569,0.0104430313019336,148875.6,0.0103946208245565,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium tardum",0,0,0,0,0,NA,NA
88431,"Dorea longicatena",130246,0.00909388345814737,129468,0.00903956940607611,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea longicatena",0,0,0,0,0,NA,NA
762968,"Paraprevotella clara",97221,0.00678805064020811,98708.1,0.0068918830347397,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella clara",0,0,0,0,0,NA,NA
2764323,"Catenibacterium faecis",94523,0.00659967404845035,94326.4,0.00658594848295754,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Catenibacterium","Catenibacterium faecis",0,0,0,0,0,NA,NA
371601,"Bacteroides xylanisolvens",94139,0.00657286285080951,106049.6,0.00740447203973794,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens",0,0,0,0,0,NA,NA
585394,"Roseburia hominis",93393,0.00652077651372601,92845,0.00648251812925002,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia hominis",0,0,0,0,0,NA,NA
649756,"Anaerostipes hadrus",85658,0.00598071241541381,85695.3,0.00598332103316428,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus",0,0,0,0,0,NA,NA
742742,"Collinsella tanakaei",80772,0.00563956785376503,80771.7,0.00563955211713867,"Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella tanakaei",0,0,0,0,0,NA,NA
3030638,"Faecalibacterium taiwanense",73017,0.00509810733890904,76288.2,0.00532650893068417,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium taiwanense",0,0,0,0,0,NA,NA
2093857,"Dysosmobacter welbionis",71108,0.00496481937980393,70953.9,0.00495406050239883,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter","Dysosmobacter welbionis",0,0,0,0,0,NA,NA
347253,"Streptococcus salivarius",65168,0.00455008366629722,63242.8,0.00441566909960153,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius",0,0,0,0,0,NA,NA
823,"Parabacteroides distasonis",61771,0.00431290231633387,61330.6,0.00428215441732131,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis",0,0,0,0,0,NA,NA
1507512,"Romboutsia hominis",61329,0.00428204151071603,61330.6,0.00428215859576828,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Romboutsia","Romboutsia hominis",0,0,0,0,0,NA,NA
386585,"Escherichia coli",58528,0.00408647337375773,57628.9,0.00402370233890847,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",0,0,0,0,0,NA,NA
1354,"Enterococcus hirae",56339,0.00393363558303952,56338.9,0.00393362805672588,"Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",0,0,0,0,0,NA,NA
3133155,"Faecalibacterium intestinale",54635,0.0038146608935083,60438.8,0.00421988648696175,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium intestinale",0,0,0,0,0,NA,NA
871665,"Blautia faecis",50144,0.00350109555859943,52760.8,0.00368380690437355,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia faecis",0,0,0,0,0,NA,NA
2838470,"Candidatus Bacteroides intestinigallinarum",47738,0.00333310664838106,56027.6,0.00391189382213399,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Candidatus Bacteroides intestinigallinarum",0,0,0,0,0,NA,NA
1583,"Weissella confusa",45825,0.0031995394059672,45048.1,0.00314530013267405,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella confusa",0,0,0,0,0,NA,NA
272559,"Bacteroides fragilis",45098,0.0031487796646003,45065.6,0.00314651866933574,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis",0,0,0,0,0,NA,NA
57706,"Citrobacter braakii",44595,0.00311365978852389,44601.2,0.00311409316314174,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter braakii",0,0,0,0,0,NA,NA
44742,"Desulfovibrio fairfieldensis",40062,0.00279716197887306,40062,0.00279716349537075,"Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio fairfieldensis",0,0,0,0,0,NA,NA
1712515,"Butyricicoccus faecihominis",38033,0.00265549552050519,37590.6,0.00262460512621745,"Bacteria","Bacillota","Clostridia","Eubacteriales","Butyricicoccaceae","Butyricicoccus","Butyricicoccus faecihominis",0,0,0,0,0,NA,NA
