"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","best_hit_species","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","species_group_names"
454155,"Paraprevotella xylaniphila",2099946,0.131791707264263,2085798,0.130903783425007,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila","Paraprevotella","Paraprevotella xylaniphila",25,0.98,0.98,0.98,0.08,"Paraprevotella clara, Paraprevotella sp., Paraprevotella xylaniphila"
818,"Bacteroides thetaiotaomicron",2032195,0.127539683660389,2038408.3,0.127929627833357,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides","Bacteroides thetaiotaomicron",45,0.92,1,0.94,0.08,"Bacteroides sp. 1_1_14, Bacteroides sp. AM23-12, Bacteroides sp. AR20, Bacteroides sp. B1-V-101, Bacteroides thetaiotaomicron"
871665,"Blautia faecis",1411703,0.0885978727643865,1382649.8,0.0867745052540372,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia faecis","Ruminococcus","Blautia faecis",37,0.938775510204082,1,1,1,"Ruminococcus sp. 1001136sp1, Ruminococcus sp. 1001136sp1_2201st1_G3_2201SCRN_220225, Ruminococcus sp. 1001713B170214_170313_A12, Ruminococcus sp. AM42-11, Ruminococcus sp. RTP21358st1_G6_RTP21358_211008"
1496,"Clostridioides difficile",990629,0.0621714497303692,988078.8,0.0620113983725711,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Clostridioides","Clostridioides difficile","Clostridioides","Clostridioides difficile",7,1,1,0.0204081632653061,0.0204081632653061,"Clostridioides difficile"
1912855,"Faecalimonas umbilicata",937101,0.0588120554857355,938271.5,0.0588855151726145,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Faecalimonas","Faecalimonas umbilicata","Faecalimonas","Faecalimonas umbilicata",42,0.98,0.98,0.36,0.36,"Faecalimonas umbilicata"
29363,"Clostridium paraputrificum",731981,0.0459388125575623,732507.5,0.0459718524670345,"Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium paraputrificum","Clostridium","Clostridium paraputrificum",46,1,1,0.92,0.18,"Clostridium paraputrificum, Clostridium sp. 1001283B150210_160208_E6"
853,"Faecalibacterium prausnitzii",658647,0.0413364022762896,657573.3,0.0412690202007302,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","Faecalibacterium","Faecalibacterium prausnitzii",46,0.86,1,1,0.06,"Faecalibacterium prausnitzii, Faecalibacterium sp. I3-3-33, Faecalibacterium sp. I4-1-79, Faecalibacterium sp. IP-1-18, Faecalibacterium sp. OM04-11BH, Faecalibacterium tardum"
330879,"Aspergillus fumigatus",563637,0.0353736155631181,563552.9,0.0353683374347375,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus fumigatus","Aspergillus","Aspergillus fumigatus",24,1,1,0.9,0.1,"Aspergillus fischeri, Aspergillus fumigatus"
5068,"Aspergillus tubingensis",482107,0.0302568278489314,481735.5,0.030233513146647,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus tubingensis","Aspergillus","Aspergillus tubingensis",10,1,1,0.98,0,"Aspergillus costaricensis, Aspergillus eucalypticola, Aspergillus luchuensis, Aspergillus neoniger, Aspergillus niger, Aspergillus piperis, Aspergillus tubingensis, Aspergillus vadensis, Aspergillus welwitschiae"
649756,"Anaerostipes hadrus",468085,0.0293768131631921,468231.8,0.0293860253948967,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","Anaerostipes","Anaerostipes hadrus",38,0.98,0.98,0.6,0.18,"Anaerostipes hadrus"
