TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,best_hit_species,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,species_group_names,blast_validated
371601,Bacteroides xylanisolvens,4262014,0.26290630055162,4116767.8,0.253946653757282,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,Bacteroides,Bacteroides xylanisolvens,68,0.86,1,0.98,0.1,"Bacteroides luhongzhouii, Bacteroides sp. 1001136B_160425_E2, Bacteroides sp. AM16-13, Bacteroides sp. AM37-9, Bacteroides sp. HF-5092, Bacteroides sp. MSK.20.12, Bacteroides xylanisolvens",TRUE
33039,[Ruminococcus] torques,1676005,0.103385928402867,1666115.9,0.102775912250011,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques,Mediterraneibacter,[Ruminococcus] torques,67,0.9,0.96,0.92,0.34,"[Ruminococcus] torques, Mediterraneibacter sp.",TRUE
338188,Bacteroides finegoldii,1304701,0.0804816955636466,1363049.2,0.0840809573173766,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,Bacteroides,Bacteroides sp. NSJ-39,45,0.92,1,0.98,0.12,"Bacteroides difficilis, Bacteroides finegoldii, Bacteroides sp. NSJ-39, Bacteroides zhangwenhongii",TRUE
818,Bacteroides thetaiotaomicron,1107083,0.0682914452964231,1136179,0.0700862608904417,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides,Bacteroides thetaiotaomicron,23,0.98,1,0.98,0.08,"Bacteroides sp. 1_1_14, Bacteroides sp. AM23-12, Bacteroides sp. AR20, Bacteroides sp. B1-V-101, Bacteroides sp. MSK.20.82, Bacteroides thetaiotaomicron",TRUE
853,Faecalibacterium prausnitzii,696181,0.0429445729705082,693566.1,0.0427832701087418,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium,Faecalibacterium prausnitzii,56,1,1,0.98,0.08,Faecalibacterium prausnitzii,TRUE
36656,Penicillium crustosum,642085,0.0396076108594873,639216,0.0394306355217516,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium crustosum,Penicillium,Penicillium crustosum,25,1,1,0.86,0.04,Penicillium crustosum,TRUE
2787083,Bacteroides sp. 1001136B_160425_E2,617314,0.0380795886683439,652252.4,0.0402347947997915,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. 1001136B_160425_E2,Bacteroides,Bacteroides sp. 1001136B_160425_E2,63,1,1,0.88,0.06,Bacteroides sp. 1001136B_160425_E2,TRUE
2877527,Blautia parvula,531644,0.0327949549791403,533353,0.0329003785600757,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia parvula,Blautia,Blautia sp. OF01-4LB,27,0.96,1,1,0.04,"Blautia caccae, Blautia celeris, Blautia parvula, Blautia sp. AF13-16, Blautia sp. C3-R-101, Blautia sp. ICN-22010, Blautia sp. JLR.GB0024, Blautia sp. NSJ-159, Blautia sp. NSJ-175, Blautia sp. OF01-4LB",TRUE
330879,Aspergillus fumigatus,531636,0.0327944614916941,531661.8,0.0327960539656026,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus,Aspergillus fumigatus,23,1,1,0.78,0.1,Aspergillus fumigatus,TRUE
292800,Flavonifractor plautii,511426,0.0315477888307999,511344.2,0.031542743495831,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,Flavonifractor,Flavonifractor plautii,27,0.96,0.96,0.86,0.08,"Flavonifractor plautii, Flavonifractor sp.",TRUE
1034346,Dielma fastidiosa,428268,0.0264181101996946,429205.1,0.0264759178073536,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dielma,Dielma fastidiosa,Dielma,Dielma fastidiosa,42,0.98,0.98,0.22,0.22,Dielma fastidiosa,TRUE
40520,Blautia obeum,353820,0.02182571602561,358469.6,0.0221125314665307,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia obeum,Blautia,Blautia obeum,65,0.98,1,0.98,0.2,"Blautia obeum, Blautia schinkii, Blautia sp. 210820-DFI.6.14",TRUE
2025659,Bacteroides sp. KFT8,305217,0.0188275947323176,299987.2,0.018504990871063,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. KFT8,Bacteroides,Bacteroides sp. KFT8,50,0.98,1,0.8,0.04,Bacteroides sp. KFT8,TRUE
1108849,Penicillium rubens,297257,0.0183365747233756,299963.1,0.0185035050833596,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium rubens,Penicillium,Penicillium chrysogenum,27,1,1,0.98,0.04,"Penicillium chrysogenum, Penicillium mononematosum, Penicillium rubens",TRUE
89153,[Clostridium] hylemonae,269398,0.0166180663780094,270427.1,0.0166815502475017,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,[Clostridium] hylemonae,Lachnoclostridium,[Clostridium] hylemonae,22,1,1,0.48,0.48,[Clostridium] hylemonae,TRUE
328812,Parabacteroides goldsteinii,234219,0.014448017019395,233912.3,0.0144290994808838,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides goldsteinii,Parabacteroides,Parabacteroides goldsteinii,29,0.98,0.98,0.96,0.06,"Parabacteroides goldsteinii, Parabacteroides sp. AF17-3, Parabacteroides sp. ASF519",TRUE
29523,Bacteroides sp.,194841,0.0120189484374707,208727.7,0.0128755637325028,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp.,Bacteroides,Bacteroides caccae,34,0.82,0.98,1,0.2,"Bacteroides caccae, Bacteroides sp., Bacteroides sp. 43_46",TRUE
594,Salmonella enterica,186383,0.0114972088350044,186326.5,0.0114937257714031,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,Salmonella,Salmonella enterica,82,1,1,1,0.18,"Salmonella enterica, Salmonella sp. 741265060_HSA, Salmonella sp. 741265096_HSA, Salmonella sp. 741265116_PST, Salmonella sp. 741265118_HBA, Salmonella sp. FC25207, Salmonella sp. FC25208, Salmonella sp. KL24021",TRUE
649756,Anaerostipes hadrus,167645,0.0103413378642061,167979,0.0103619389934498,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes,Anaerostipes hadrus,31,0.96,0.96,0.5,0.16,Anaerostipes hadrus,TRUE
