@SampleID:10
@Version:0.9.2
@Ranks:acellular root,cellular root,other entries|realm,domain|kingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU	HOST
10239	acellular root	10239	Viruses	48.0017			
131567	cellular root	131567	cellular organisms	50.2360			
2787854	other entries	2787854	other entries	1.7623			
2731341	realm	10239|2731341	Viruses|Duplodnaviria	36.9427			
2731342	realm	10239|2731342	Viruses|Monodnaviria	5.7269			
2559587	realm	10239|2559587	Viruses|Riboviria	4.9459			
2732004	realm	10239|2732004	Viruses|Varidnaviria	0.0000			
2	domain	131567|2	cellular organisms|Bacteria	49.2313			
2759	domain	131567|2759	cellular organisms|Eukaryota	1.0047			
2731360	kingdom	10239|2731341|2731360	Viruses|Duplodnaviria|Heunggongvirae	36.9427			
1783272	kingdom	131567|2|1783272	cellular organisms|Bacteria|Bacillati	31.9187			
3379134	kingdom	131567|2|3379134	cellular organisms|Bacteria|Pseudomonadati	17.3043			
2732396	kingdom	10239|2559587|2732396	Viruses|Riboviria|Orthornavirae	4.9459			
2732092	kingdom	10239|2731342|2732092	Viruses|Monodnaviria|Shotokuvirae	3.2227			
2732091	kingdom	10239|2731342|2732091	Viruses|Monodnaviria|Sangervirae	1.9589			
4751	kingdom	131567|2759|4751	cellular organisms|Eukaryota|Fungi	1.0037			
2732090	kingdom	10239|2731342|2732090	Viruses|Monodnaviria|Loebvirae	0.5453			
3384194	kingdom	131567|2|3384194	cellular organisms|Bacteria|Thermotogati	0.0060			
3384189	kingdom	131567|2|3384189	cellular organisms|Bacteria|Fusobacteriati	0.0023			
33208	kingdom	131567|2759|33208	cellular organisms|Eukaryota|Metazoa	0.0010			
2732005	kingdom	10239|2732004|2732005	Viruses|Varidnaviria|Bamfordvirae	0.0000			
2731618	phylum	10239|2731341|2731360|2731618	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota	36.9427			
1239	phylum	131567|2|1783272|1239	cellular organisms|Bacteria|Bacillati|Bacillota	31.5043			
976	phylum	131567|2|3379134|976	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota	14.1387			
2732408	phylum	10239|2559587|2732396|2732408	Viruses|Riboviria|Orthornavirae|Pisuviricota	4.5934			
74201	phylum	131567|2|3379134|74201	cellular organisms|Bacteria|Pseudomonadati|Verrucomicrobiota	2.0039			
2732412	phylum	10239|2731342|2732091|2732412	Viruses|Monodnaviria|Sangervirae|Phixviricota	1.9589			
2732415	phylum	10239|2731342|2732092|2732415	Viruses|Monodnaviria|Shotokuvirae|Cossaviricota	1.7248			
2732416	phylum	10239|2731342|2732092|2732416	Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota	1.4221			
4890	phylum	131567|2759|4751|4890	cellular organisms|Eukaryota|Fungi|Ascomycota	1.0012			
1224	phylum	131567|2|3379134|1224	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota	0.7420			
2732410	phylum	10239|2731342|2732090|2732410	Viruses|Monodnaviria|Loebvirae|Hofneiviricota	0.5453			
201174	phylum	131567|2|1783272|201174	cellular organisms|Bacteria|Bacillati|Actinomycetota	0.4144			
